stock,selected,factor_set,factors,candidate,family,selection_score,fold_id,active_days,mr_probability_entry,mr_entry_score,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count
AAPL,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
MSFT,True,XLK,XLK,mr_p035_s125,mean_reversion,2.3336393459033933,16.0,19.0,0.35,1.25,0.002446886736119369,2.0041351961487837e-05,0.00013623559803861842,2.335267756342918,-0.0004876801414862575,0.10655737704918032,0.0065136417580990156,0.012282006129076142,0.1557377049180328,0.7946642944880798
NVDA,True,QQQ_XLK,"QQQ,XLK",mr_p030_s125,mean_reversion,1.9634135088836397,16.0,11.0,0.3,1.25,0.002326331689458172,1.9058042084433302e-05,0.00015372168011771863,1.9680830885767142,-0.0004520306338188229,0.06557377049180328,0.018678318772298017,0.020410944470388593,0.09016393442622951,2.278754890220358
AVGO,True,XLK,XLK,mr_p030_s150,mean_reversion,1.4376103011458283,16.0,15.0,0.3,1.5,0.0049860030821993195,4.086877335510211e-05,0.0004507754390670258,1.4392347228543485,-0.0024172571349694305,0.06557377049180328,0.006497686834081054,0.015408576818860131,0.12295081967213115,0.7927177937578886
AMD,True,SPY_XLK,"SPY,XLK",mr_p040_s200,mean_reversion,2.1013150403794656,16.0,24.0,0.4,2.0,0.017717774854597357,0.0001445539909918631,0.001091086902658805,2.103153709870561,-0.0031011007396298806,0.11475409836065574,0.007354677964380897,0.03960505687931402,0.19672131147540983,0.8972707116544694
ADBE,True,QQQ_XLK,"QQQ,XLK",mr_p030_s125,mean_reversion,1.5577378669967934,16.0,16.0,0.3,1.25,0.0024156191508404312,1.9796612418202063e-05,0.00020158934011573872,1.5589191342168522,-0.0009560999733815301,0.06557377049180328,0.004725068880235241,0.015952907471767894,0.13114754098360656,0.5764584033886995
CRM,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
CSCO,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
INTC,True,SPY_XLK,"SPY,XLK",mr_p040_s200,mean_reversion,1.1441086704892656,16.0,25.0,0.4,2.0,0.005391443639656934,4.4260625595548394e-05,0.0006128832523845573,1.146410260770034,-0.004936571747633622,0.10655737704918032,0.00920636112307354,0.03704767915190513,0.20491803278688525,1.123176057014972
ORCL,True,XLK,XLK,mr_p035_s150,mean_reversion,2.7338734415193477,16.0,24.0,0.35,1.5,0.014644494624489246,0.00011941094584942694,0.0006926490386608025,2.7367250850221643,-0.003915232562672677,0.12295081967213115,0.011406574011266116,0.02410836665960057,0.19672131147540983,1.3916020293744662
QCOM,True,QQQ_XLK,"QQQ,XLK",mr_p035_s125,mean_reversion,1.2010319574549755,16.0,21.0,0.35,1.25,0.004202523269925651,3.447773075800315e-05,0.00045473716981405304,1.2035897755112401,-0.003100855982257955,0.08196721311475409,0.01023127222505884,0.020613012761335356,0.1721311475409836,1.2482152114571783
TXN,False,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p035_s150,mean_reversion,0.9316202511771504,16.0,24.0,0.35,1.5,0.0026483414821480977,2.1746855189890638e-05,0.00036925005014360216,0.9349237018298377,-0.0029455823215706056,0.09016393442622951,0.013213802610749432,0.043182891675425515,0.19672131147540983,1.6120839185114306
