date,long_gross,short_gross,stock_gross,hedge_gross,gross_exposure,net_exposure,turnover,net_SPY_exposure,net_XLK_exposure,net_QQQ_exposure
2020-07-01,0.03013449452172373,0.05,0.05,0.03013449452172373,0.08013449452172373,-0.019865505478276264,0.08013449452172375,-0.0017899978986592358,-0.008189205892655791,-0.020155290730408705
2020-07-02,0.02928710568641685,0.05,0.05,0.02928710568641685,0.07928710568641685,-0.020712894313583148,0.016629458094765102,-0.0005034418229553754,-0.016080240522384902,-0.012703423341076575
2020-07-06,0.0305131310620922,0.051807781948969726,0.05,0.03232091301106192,0.08232091301106192,-0.021294650886877528,0.01658926558773736,0.0018077819489697236,-0.024083995029606394,-0.006429136032485804
2020-07-07,0.028935066278310214,0.05003383175721001,0.05,0.02896889803552022,0.07896889803552022,-0.021098765478899797,0.008521028447059948,3.383175721000561e-05,-0.026668501765365518,-0.002266564512944697
2020-07-08,0.029321546690729075,0.05,0.05,0.029321546690729075,0.07932154669072908,-0.020678453309270928,0.007502199974149853,-0.003492176072952818,-0.023127557863105025,-0.0027018127546712335
2020-07-09,0.031938698208630725,0.05291553963878935,0.05,0.034854237847420075,0.08485423784742008,-0.020976841430158634,0.01093631666603347,-0.005872641340574292,-0.026066056868056433,0.002915539638789353
2020-07-10,0.0611385459897018,0.08283918774938409,0.05,0.09397773373908588,0.1439777337390859,-0.02170064175968229,0.1591234958916658,-0.018805473056087298,-0.042333072933614505,0.03283918774938409
2020-07-13,0.06165718399128141,0.08355264247987558,0.05,0.09520982647115699,0.145209826471157,-0.02189545848859417,0.0023236928638189387,-0.018259672990213378,-0.043397511001068034,0.03355264247987558
2020-07-14,0.0,-0.0,0.0,0.0,0.0,0.0,0.145209826471157,0.0,0.0,0.0
2020-07-15,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-16,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-17,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-21,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-22,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
