date,gross_pnl,transaction_cost,net_pnl
2020-07-01,-0.0004335482637311507,4.981240080483897e-05,-0.00048336066453598967
2020-07-02,-6.817021755284243e-05,7.395341451493787e-08,-6.824417096735737e-05
2020-07-06,-0.0002132997510533914,4.9595988117936054e-05,-0.00026289573917132747
2020-07-07,-0.0005060781829180889,1.4019985805774696e-07,-0.0005062183827761466
2020-07-08,-0.0008542431509306573,5.095006483062629e-05,-0.0009051932157612835
2020-07-09,0.0006942212870101356,1.751622093570139e-07,0.0006940461248007786
2020-07-10,-3.167332193667276e-05,4.895717988177775e-05,-8.063050181845051e-05
2020-07-13,0.0039710369244589875,8.225079011095343e-07,0.003970214416557878
2020-07-14,7.94826632726008e-05,9.989415011770343e-05,-2.041148684510262e-05
2020-07-15,0.00024169160503763971,2.013320122873988e-07,0.00024149027302535232
2020-07-16,-7.542408934419799e-05,5.051086266718339e-05,-0.00012593495201138137
2020-07-17,0.0008177220949085069,3.837473762454725e-07,0.0008173383475322615
2020-07-20,0.0,4.8632359443037635e-05,-4.8632359443037635e-05
2020-07-21,0.0,0.0,0.0
2020-07-22,0.0,0.0,0.0
2020-07-23,0.0003422285735907465,5.3253382799269035e-05,0.00028897519079147747
2020-07-24,-0.007896577853117622,4.7681285414905265e-05,-0.007944259138532528
2020-07-27,-0.0014290464888557421,0.00010608954899802527,-0.0015351360378537673
2020-07-28,-0.0002726121234213432,5.190852791423531e-05,-0.00032452065133557853
2020-07-29,0.00025082733941750454,6.734299360622795e-07,0.0002501539094814423
2020-07-30,0.0003292673231604341,8.049877036049244e-08,0.00032918682439007365
2020-07-31,0.002185710472790559,0.00010362404167567109,0.0020820864311148876
2020-08-03,-0.0004317141797571724,5.044353235716326e-05,-0.00048215771211433564
2020-08-04,6.316882866353075e-05,9.928466409767215e-05,-3.61158354341414e-05
2020-08-05,0.0001240685291059512,1.2254756905906093e-07,0.00012394598153689216
2020-08-06,0.00012225585406859627,1.0596617589522794e-08,0.00012224525745100674
2020-08-07,0.0006650229338824305,3.9419053041761314e-05,0.0006256038808406693
2020-08-10,-0.000545443352929193,1.464935589839185e-06,-0.0005469082885190322
2020-08-11,-0.0013994072323651903,9.820693966622677e-08,-0.0013995054393048565
2020-08-12,-0.0025919903651950784,6.538367737292105e-07,-0.0025926442019688074
2020-08-13,0.0005274038402480605,4.980527157365619e-05,0.00047759856867440436
2020-08-14,-0.0010630254347018832,4.510334878783487e-05,-0.001108128783489718
2020-08-17,0.0011005968210260973,3.1581385097425445e-07,0.001100281007175123
2020-08-18,0.0035999606250722628,5.3366513034525016e-05,0.0035465941120377377
2020-08-19,0.0015877349388261001,5.111078625354702e-05,0.001536624152572553
2020-08-20,0.0008054681950900424,6.295094784270595e-05,0.0007425172472473364
2020-08-21,-0.004218798841746303,5.110071252442405e-05,-0.004269899554270727
2020-08-24,-0.0002825874316695461,5.2233097513266246e-05,-0.0003348205291828123
2020-08-25,0.00016197382108876657,5.467781492182731e-05,0.00010729600616693927
2020-08-26,0.00014932709075980819,1.1076542296023506e-07,0.00014921632533684796
2020-08-27,0.0010499280300477168,5.960426035915101e-05,0.000990323769688566
2020-08-28,0.0004441558316478528,3.197412804245292e-07,0.0004438360903674283
2020-08-31,-0.0008086154464016659,5.802556670122734e-05,-0.0008666410131028933
2020-09-01,-0.0006080957822384266,5.528557933673252e-05,-0.0006633813615751591
2020-09-02,0.0005362204284667363,4.872416874120887e-05,0.0004874962597255274
2020-09-03,1.4794238902773697e-05,4.87643802938803e-05,-3.39701413911066e-05
2020-09-04,-0.00039561507792556854,7.30582560461178e-07,-0.00039634566048602973
2020-09-08,-0.0007378191625860525,5.908721382452728e-05,-0.0007969063764105798
2020-09-09,0.0004894900580614677,1.03010917359889e-06,0.0004884599488878688
2020-09-10,-0.001561567196420908,5.894764269725598e-05,-0.001620514839118164
2020-09-11,8.675787474504378e-05,3.569587167636977e-05,5.106200306867401e-05
2020-09-14,-0.002780358901393916,3.177253742886466e-08,-0.0027803906739313445
2020-09-15,-0.000897292369071727,4.4369426177321814e-05,-0.0009416617952490488
2020-09-16,-5.7256403944313e-05,3.548434001729654e-05,-9.274074396160953e-05
2020-09-17,-0.0004623258866580513,5.6255105491963854e-05,-0.0005185809921500152
2020-09-18,0.00018768841605281311,9.567975248733415e-08,0.0001875927363003258
2020-09-21,-0.000870773227717341,5.403318048922247e-05,-0.0009248064082065635
2020-09-22,0.000704299508820818,1.0006467096861093e-08,0.0007042895023537211
2020-09-23,-0.0002700946080119587,6.214251534771704e-07,-0.0002707160331654359
2020-09-24,0.00013023570569957465,5.5666726200941075e-05,7.456897949863358e-05
2020-09-25,-0.00017308327649051504,1.9525911543344376e-07,-0.00017327853560594847
2020-09-28,0.0010360711513352125,2.0550562768978377e-08,0.0010360506007724435
2020-09-29,-0.00028724907557911236,6.2312095138677e-05,-0.0003495611707177894
2020-09-30,0.0003913372867381604,5.988685927082321e-08,0.0003912773998788896
2020-10-01,0.00018458775499602203,6.213409182613841e-05,0.0001224536631698836
2020-10-02,0.0007220454887503524,2.139031287349963e-07,0.0007218315856216174
2020-10-05,0.0005548939124608423,6.143350200310806e-05,0.0004934604104577342
2020-10-06,0.0,5.565507054074975e-05,-5.565507054074975e-05
2020-10-07,0.0004930450030502926,6.117458169251594e-05,0.00043187042135777663
2020-10-08,0.000549160860676935,4.137581259565213e-05,0.0005077850480812828
2020-10-09,-0.000441818638460721,6.069791333547308e-05,-0.0005025165517961941
2020-10-12,-0.0012858387439577562,5.470147899912317e-05,-0.0013405402229568794
2020-10-13,0.0008701376093439611,8.710460867938745e-07,0.0008692665632571673
2020-10-14,0.00020975572800533722,5.292608403699353e-05,0.0001568296439683437
2020-10-15,-0.0004446457798544956,4.319547767502388e-08,-0.00044468897533217065
2020-10-16,-0.00025777328433479306,6.17228548392218e-07,-0.00025839051288318525
