fold_id,stock,factor_set,factors,candidate,family,selection_score,active_days,mr_probability_entry,mr_entry_score,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count,selected
14.0,AAPL,SPY_XLK,"SPY,XLK",mr_p030_s150,mean_reversion,1.1905894825274987,13.0,0.3,1.5,0.0022044053647729545,1.8534411307629705e-05,0.0002468488784733656,1.1919221992073024,-0.0017126680381245318,0.06722689075630252,0.005330866719214797,0.015785392488558835,0.1092436974789916,0.6343731395865608,True
14.0,MSFT,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p035_s175,mean_reversion,1.8515061053502158,11.0,0.35,1.75,0.0032725848257053602,2.74836331882395e-05,0.00023541880054908749,1.853246852953218,-0.0005466648419311104,0.06722689075630252,0.0069629904120089405,0.009472695762555628,0.09243697478991597,0.828595859029064,True
14.0,NVDA,SPY_XLK,"SPY,XLK",mr_p035_s125,mean_reversion,1.4920372583888892,17.0,0.35,1.25,0.003331827429840617,2.7995876169099857e-05,0.0002961939391324368,1.5004383876810998,-0.0031924593289758274,0.08403361344537816,0.03360451716884276,0.04544640671409644,0.14285714285714285,3.9989375430922887,True
14.0,AVGO,XLK,XLK,mr_p040_s125,mean_reversion,0.6273368979292783,30.0,0.4,1.25,0.002278499360262698,1.9241987022533158e-05,0.0004850927879146516,0.6296879318021782,-0.0029673623894639345,0.11764705882352941,0.009404135491599486,0.0348237610215061,0.25210084033613445,1.1190921235003388,False
,AMD,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,ADBE,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,CRM,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
14.0,CSCO,SPY_XLK,"SPY,XLK",mr_p040_s200,mean_reversion,2.0958440820056805,19.0,0.4,2.0,0.0028465473260674834,2.3903091390721506e-05,0.0001809054340028763,2.0975036731453622,-0.001219542858573397,0.10084033613445378,0.0066383645587269335,0.014104382587506344,0.15966386554621848,0.7899653824885051,True
14.0,INTC,XLK,XLK,mr_p035_s200,mean_reversion,0.3134786228073259,27.0,0.35,2.0,0.002262227121656135,1.94692929676113e-05,0.000983173058646436,0.3143550788432395,-0.011155059334699624,0.13445378151260504,0.0035058241436543096,0.021745561299679615,0.226890756302521,0.41719307309486287,False
,ORCL,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
14.0,QCOM,SPY_XLK,"SPY,XLK",mr_p040_s150,mean_reversion,1.2897202057944812,38.0,0.4,1.5,0.004378524943871254,3.68158805463611e-05,0.00045179952510428266,1.2935692776708798,-0.004206076403723724,0.19327731092436976,0.015396287505593985,0.03547104679455982,0.31932773109243695,1.8321582131656842,True
14.0,TXN,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p030_s125,mean_reversion,2.1439406595914514,15.0,0.3,1.25,0.005509705746302496,4.6231985038210686e-05,0.00034200319752615175,2.1459156390245955,-0.0015334640306583491,0.09243697478991597,0.007899917732575847,0.021548936294295586,0.12605042016806722,0.9400902101765258,True
