specification,factors,hedge_fraction,stock_weight,gross_exposure_limit,transaction_cost_bps,gross_cum_return,net_cum_return,total_transaction_cost,net_sharpe,net_max_drawdown,turnover,avg_gross_exposure,active_rate,pnl_corr_xlk,pnl_corr_spy,split_adjusted,dividend_adjusted,corporate_action_adjusted,avg_abs_remaining_xlk_exposure,avg_abs_remaining_spy_exposure,avg_abs_remaining_qqq_exposure
primary_xlk,XLK,0.0,0.05,2.0,5.0,-0.08175454070324817,-0.1027934691832062,0.023175,-0.6099989313076213,-0.1250237815264834,0.03347794649313087,0.1541937816341287,0.9551699204627621,0.11088864224345897,0.1223757015424766,True,False,False,0.07006057583982939,,
primary_xlk,XLK,0.25,0.05,2.0,5.0,-0.06873625054783183,-0.09446452266986438,0.02801144510683879,-0.6162990399330022,-0.1114044275829047,0.04046311208479766,0.17170892559408607,0.9551699204627621,0.09392804391491698,0.1093696788894815,True,False,False,0.05254543187987203,,
primary_xlk,XLK,0.5,0.05,2.0,5.0,-0.055665015752042635,-0.08618555257155158,0.03284789021367758,-0.6087218825231362,-0.09984542015889708,0.047448277676464444,0.1892240695540434,0.9551699204627621,0.07133881897996995,0.09113173400871291,True,False,False,0.03503028791991469,,
primary_xlk,XLK,0.75,0.05,2.0,5.0,-0.04254372608386381,-0.07795930224671499,0.03768433532051637,-0.5799199576053468,-0.09014484817382928,0.05443344326813121,0.20673921351400076,0.9551699204627621,0.04304123640326148,0.06717768880417306,True,False,False,0.017515143959957347,,
primary_xlk,XLK,1.0,0.05,2.0,5.0,-0.02937533216246635,-0.06978851786907037,0.04252078042735516,-0.5259009724828615,-0.0837875947115535,0.06141860885979801,0.22425435747395808,0.9551699204627621,0.010831387709963078,0.03869417589830104,True,False,False,0.0,,
robustness_spy_xlk_qqq,"SPY,XLK,QQQ",0.0,0.05,2.0,5.0,-0.06599695247435522,-0.08858176567211395,0.024475000000000004,-0.5073679452970976,-0.10277415086415442,0.035357917570498915,0.1609906001446132,0.9631236442516269,0.08369070759289246,0.09486879318722934,True,False,False,0.08465303775958549,0.09096481469905125,0.09764580020403266
robustness_spy_xlk_qqq,"SPY,XLK,QQQ",0.25,0.05,2.0,5.0,-0.04781422720123174,-0.08685402063910708,0.04185999325175662,-0.5572470884655584,-0.10014881533954278,0.06048801103127432,0.2293065133102805,0.9631236442516269,0.05907473098474742,0.07224825097159765,True,False,False,0.06348977831968913,0.06822361102428844,0.07323435015302447
robustness_spy_xlk_qqq,"SPY,XLK,QQQ",0.5,0.05,2.0,5.0,-0.029448731792783622,-0.08528397853719016,0.05924498650351324,-0.6011532011291189,-0.09777182702981979,0.08561810449204972,0.29762242647594783,0.9631236442516269,0.027213465164284363,0.04242170286188938,True,False,False,0.042326518879792746,0.045482407349525626,0.04882290010201633
robustness_spy_xlk_qqq,"SPY,XLK,QQQ",0.75,0.05,2.0,5.0,-0.010903413260839101,-0.08387241580044968,0.07662997975526986,-0.6267430783201047,-0.09662638583411554,0.11074819795282512,0.3659383396416152,0.9631236442516269,-0.010881696405870169,0.00604541845017434,True,False,False,0.021163259439896373,0.022741203674762813,0.024411450051008164
robustness_spy_xlk_qqq,"SPY,XLK,QQQ",1.0,0.05,2.0,5.0,0.007818631451033786,-0.08262002727253925,0.09401497300702649,-0.6226785954065945,-0.09967442741049659,0.1358782914136005,0.4342542528072826,0.9631236442516269,-0.05104150542472926,-0.03312600791235774,True,False,False,0.0,0.0,0.0
