date,long_gross,short_gross,stock_gross,hedge_gross,gross_exposure,net_exposure,turnover,net_SPY_exposure,net_XLK_exposure,net_QQQ_exposure
2020-07-01,0.06026898904344753,0.05,0.05,0.06026898904344753,0.11026898904344754,0.010268989043447526,0.11026898904344754,0.0,0.0,0.0
2020-07-02,0.058574211372833765,0.05,0.05,0.058574211372833765,0.10857421137283377,0.008574211372833762,0.0332589161895309,0.0,0.0,0.0
2020-07-06,0.06102626212418438,0.053615563897939415,0.05,0.0646418260221238,0.1146418260221238,0.007410698226244971,0.033178531175474354,0.0,0.0,0.0
2020-07-07,0.057870132556620345,0.05006766351441992,0.05,0.057937796071040264,0.10793779607104026,0.007802469042200426,0.017042056894120167,0.0,0.0,0.0
2020-07-08,0.05864309338145815,0.05,0.05,0.05864309338145815,0.10864309338145815,0.00864309338145815,0.01500439994829874,0.0,0.0,0.0
2020-07-09,0.06387739641726152,0.05583107927757886,0.05,0.06970847569484039,0.11970847569484039,0.008046317139682655,0.021872633332067057,0.0,0.0,0.0
2020-07-10,0.12227709197940378,0.11567837549876837,0.05,0.18795546747817216,0.23795546747817214,0.006598716480635411,0.2182469917833318,0.0,0.0,0.0
2020-07-13,0.12331436798256315,0.11710528495975153,0.05,0.19041965294231467,0.24041965294231465,0.006209083022811632,0.0046473857276380995,0.0,0.0,0.0
2020-07-14,0.0,-0.0,0.0,0.0,0.0,0.0,0.2404196529423147,0.0,0.0,0.0
2020-07-15,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-16,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-17,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-21,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-22,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-23,0.1723287624790497,0.17382774437434445,0.1,0.24615650685339419,0.34615650685339416,-0.0014989818952947237,0.34615650685339416,0.0,0.0,0.0
2020-07-24,0.21175469234531885,0.20747545321033173,0.15000000000000002,0.2692301455556506,0.41923014555565064,0.004279239134987109,0.10910447700044495,0.0,0.0,0.0
