stock,selected,factor_set,factors,candidate,family,selection_score,fold_id,active_days,mr_probability_entry,mr_entry_score,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count
AAPL,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
MSFT,True,SPY_XLK,"SPY,XLK",mr_p035_s125,mean_reversion,3.0985560024851067,11.0,48.0,0.35,1.25,0.00536729739344044,4.426562368075899e-05,0.00022650255677515458,3.1023711225843393,-0.0008035727511280788,0.2231404958677686,0.015260480396930991,0.04054115846481171,0.39669421487603307,1.84651812802865
NVDA,True,QQQ_XLK,"QQQ,XLK",mr_p035_s125,mean_reversion,2.480759653113366,11.0,13.0,0.35,1.25,0.010997138018735253,9.055906184122482e-05,0.0005786408753735038,2.484408898080806,-0.0014191125099066726,0.08264462809917356,0.014596979869758964,0.02454668495796176,0.10743801652892562,1.7662345642408346
AVGO,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
AMD,True,SPY_XLK,"SPY,XLK",mr_p040_s200,mean_reversion,1.697283961622995,11.0,11.0,0.4,2.0,0.00583819667514085,4.821086589745953e-05,0.00045033769587112497,1.6994441659034296,-0.0016586691334601333,0.05785123966942149,0.008640817121737802,0.016744717650295494,0.09090909090909091,1.045538871730274
ADBE,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
CRM,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
CSCO,True,XLK,XLK,mr_p040_s125,mean_reversion,2.2679222836999955,11.0,19.0,0.4,1.25,0.0030815173831475473,2.5443963154267632e-05,0.0001780365951324214,2.268693090564178,-0.0015010897060763195,0.09090909090909091,0.003083227456729738,0.009808012044875452,0.15702479338842976,0.37307052226429827
INTC,True,XLK,XLK,mr_p040_s125,mean_reversion,1.494469149891966,11.0,37.0,0.4,1.25,0.01577060511200723,0.00013026707637858978,0.0013823201546478547,1.4959817533949171,-0.007922598509145451,0.18181818181818182,0.006050414011804315,0.026403986591525184,0.30578512396694213,0.7321000954283221
ORCL,True,XLK,XLK,mr_p040_s175,mean_reversion,2.1452648496711118,11.0,13.0,0.4,1.75,0.0033123067303595377,2.7349854595707004e-05,0.00020230293943343733,2.146115539101979,-0.001359598867585965,0.0743801652892562,0.0034027577234685717,0.010772004363113563,0.10743801652892562,0.41173368453969716
QCOM,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
TXN,True,XLK,XLK,mr_p035_s175,mean_reversion,2.4163252643056423,11.0,21.0,0.35,1.75,0.003997473364707904,3.299491593693258e-05,0.00021662988070447325,2.4178476712830337,-0.0008294535210802145,0.09917355371900827,0.006089627909565134,0.014908252931003962,0.17355371900826447,0.7368449770573813
