stock,selected,factor_set,factors,candidate,family,selection_score,fold_id,active_days,mr_probability_entry,mr_entry_score,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count
AAPL,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
MSFT,True,SPY_XLK,"SPY,XLK",mr_p040_s125,mean_reversion,1.314071539954254,12.0,39.0,0.4,1.25,0.0021316991460826884,1.7476518100475015e-05,0.0002107322465270255,1.3165100673260064,-0.0022530082030137732,0.1721311475409836,0.009754109487009452,0.03141487007147728,0.319672131147541,1.1900013574151531
NVDA,True,SPY_XLK,"SPY,XLK",mr_p040_s125,mean_reversion,2.4460520056490496,12.0,44.0,0.4,1.25,0.007010273170301673,5.733083628564238e-05,0.00037146566407520376,2.450021360301973,-0.002539481620027817,0.22131147540983606,0.01587741861169443,0.10382121049616704,0.36065573770491804,1.9370450706267204
AVGO,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
AMD,True,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p040_s175,mean_reversion,2.780732683117192,12.0,16.0,0.4,1.75,0.012618301384510922,0.00010295727391792095,0.0005866683335075567,2.7858944506859107,-0.0019652138711478973,0.10655737704918032,0.02064707027487456,0.03656789429454326,0.13114754098360656,2.518942573534696
ADBE,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
CRM,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
CSCO,True,QQQ_XLK,"QQQ,XLK",mr_p035_s125,mean_reversion,3.014818352111669,12.0,38.0,0.35,1.25,0.005583598144153434,4.5669547884159115e-05,0.00024021364752614755,3.018069974823272,-0.0024871571217728317,0.22131147540983606,0.013006490846410711,0.02822038750847473,0.3114754098360656,1.5867918832621069
INTC,True,XLK,XLK,mr_p035_s175,mean_reversion,1.9267329747277648,12.0,31.0,0.35,1.75,0.02060930546135653,0.00016816972001482366,0.001385150279336146,1.9273082373004036,-0.0065377844086913495,0.1721311475409836,0.0023010502905550265,0.02251940912413971,0.2540983606557377,0.28072813544771325
ORCL,True,SPY_XLK,"SPY,XLK",mr_p035_s125,mean_reversion,1.6291787480034075,12.0,52.0,0.35,1.25,0.00797393580458361,6.530278722141875e-05,0.0006352382961903457,1.631906665042779,-0.0035426727131517843,0.2540983606557377,0.010911668157486206,0.046196902033910026,0.4262295081967213,1.3312235152133172
QCOM,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
TXN,True,XLK,XLK,mr_p040_s150,mean_reversion,2.4285716820353556,12.0,48.0,0.4,1.5,0.006549838356704862,5.3574276363464894e-05,0.00034992661580663157,2.430410357918611,-0.001466743750776045,0.20491803278688525,0.0073547035330213855,0.034151314034663455,0.39344262295081966,0.897273831028609
