fold_id,stock,factor_set,factors,candidate,family,selection_score,active_days,mr_probability_entry,mr_entry_score,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count,selected
2.0,AMD,XLK,XLK,mr_p030_s125,mean_reversion,2.874404742142266,10.0,0.3,1.25,0.007423224413162233,6.118075863962601e-05,0.00033771840337248454,2.8758113996681,-0.0012454499757991178,0.06611570247933884,0.00562663010333554,0.011005031567031465,0.08264462809917356,0.6808222425036004,True
2.0,ADBE,XLK,XLK,mr_p035_s125,mean_reversion,2.2661352123398286,11.0,0.35,1.25,0.00427503057206069,3.5286343985162966e-05,0.00024683006154812393,2.2693886703071393,-0.0010075944145963023,0.06611570247933884,0.013013831869242721,0.010248964474532699,0.09090909090909091,1.5746736561783692,True
,CRM,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,CSCO,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
2.0,INTC,SPY_XLK,"SPY,XLK",mr_p035_s150,mean_reversion,2.0009279955035364,15.0,0.35,1.5,0.0065694289697781905,5.4208157736624747e-05,0.00042975477281214107,2.002369446141298,-0.0012576687513797813,0.0743801652892562,0.005765802551046675,0.012421255157998174,0.12396694214876033,0.6976621086766477,True
2.0,ORCL,XLK,XLK,mr_p040_s125,mean_reversion,1.7279375706775781,35.0,0.4,1.25,0.004753608511591789,3.925806158449589e-05,0.0003604726851235948,1.7288477966882012,-0.001192714204379497,0.1487603305785124,0.0036409040424919413,0.024393206394847225,0.2892561983471074,0.4405493891415249,True
,QCOM,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
2.0,TXN,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p035_s175,mean_reversion,1.6811614163088244,37.0,0.35,1.75,0.005226786930675464,4.316717093848281e-05,0.00040712437518549587,1.6831652349983246,-0.0024348174600208328,0.18181818181818182,0.008015274758000708,0.033207451967120216,0.30578512396694213,0.9698482457180857,True
3.0,AAPL,QQQ_XLK,"QQQ,XLK",mr_p035_s175,mean_reversion,2.090365423434997,24.0,0.35,1.75,0.002927035767277486,2.3973753272838642e-05,0.00018195300923765317,2.0915924199936566,-0.0012357269484901678,0.13934426229508196,0.004907986234637837,0.02410029607805622,0.19672131147540983,0.5987743206258161,True
3.0,MSFT,SPY_XLK,"SPY,XLK",mr_p035_s200,mean_reversion,3.581575073111438,14.0,0.35,2.0,0.005916394660289148,4.837606672202787e-05,0.00021427749691102534,3.58388660869319,-0.0002486017763677628,0.09016393442622951,0.009246142327007406,0.015605988401487572,0.11475409836065574,1.1280293638949035,True
3.0,NVDA,XLK,XLK,mr_p040_s200,mean_reversion,0.9592369332560859,15.0,0.4,2.0,0.0021346925865570743,1.752061641361122e-05,0.0002897629119841629,0.9598577028968822,-0.0015755994943295049,0.07377049180327869,0.00248307856318508,0.017655346680308954,0.12295081967213115,0.30293558470857973,False
,AVGO,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
