specification,factors,stock_weight,gross_exposure_limit,transaction_cost_bps,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count,split_adjusted,dividend_adjusted,corporate_action_adjusted
primary_xlk,XLK,0.05,2.0,5.0,-0.06978851786906826,-5.111681841934942e-05,0.0015429793412848497,-0.5259009724828605,-0.08378759471155184,0.49023861171366595,0.06141860885979801,0.22425435747395808,0.9551699204627621,84.94193605310065,True,False,False
robustness_spy_xlk_qqq,"SPY,XLK,QQQ",0.05,2.0,5.0,-0.08262002727254059,-6.113618863591851e-05,0.0015586000780838244,-0.6226785954065925,-0.09967442741049759,0.4786695589298626,0.1358782914136005,0.43425425280728264,0.9631236442516269,187.9196770250095,True,False,False
