candidate,selected_folds
mr_p040_s200,2
mr_p030_s125,2
mr_p030_s150,2
mr_p030_s200,2
invtrend_p070_s125,1
invtrend_p060_s150,1
mr_p030_s175__inv_p070_s125,1
invtrend_p065_s125,1
invtrend_p070_s150,1
mr_p035_s175,1
mr_p030_s175,1
