mode,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count,gross_pnl_sum,transaction_cost_sum,net_pnl_sum,active_observations,active_hit_rate
mean_reversion,0.010806090374012811,1.2235460353836752e-05,0.0006932357808884303,0.2801816019752077,-0.015123706500095091,0.1484375,0.02365024640253736,0.0656730560127599,0.29575892857142855,21.190620776673477,0.021823829230616584,0.010860856753578844,0.01096297247703773,265,0.5018867924528302
inverse_trend,-0.01105412307706033,-1.2382095215779804e-05,0.00021780798394635607,-0.9024447329426949,-0.011072514415453982,0.017857142857142856,0.005577057955862391,0.01027400510331884,0.044642857142857144,4.997043928452702,-0.008623910583748791,0.002470446729589916,-0.011094357313338705,40,0.4
flat,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
