date,AAPL,MSFT,NVDA,AVGO,AMD,JPM,BAC,GS,MS,C,XOM,CVX,COP,SLB,EOG,LLY,JNJ,MRK,ABBV,UNH,CAT,HON,UNP,UPS,LMT
2022-06-07,0.47725296974478154,0.6364285154102407,0.6272415285955039,0.7060010362258264,0.5713265408388806,0.673514252301889,0.6573698792363379,0.5541735962453033,0.4782814440809055,0.621672540940753,0.5160927135053713,0.6566685053330737,0.5276598135964793,0.5011482093140168,0.5254581415798195,0.4418428934311871,0.5878222158401858,0.5573424632739358,0.34942441567080784,0.5145180246688167,0.3903887930031397,0.6689436052616756,0.35231342994867765,0.5840644152941067,0.5546164029806027
2022-06-08,0.4612107253163975,0.6531325904166255,0.6194307377631708,0.7085619905572895,0.5897661576558195,0.7082293228292222,0.6642295875080299,0.510098212200851,0.4939982642909665,0.5992956188103039,0.5855973417627136,0.6829633823068122,0.5395486242361235,0.4750543100221049,0.5166598715462937,0.47808563135703136,0.6015286104203699,0.5635697205836736,0.3441195924352055,0.4959442501342986,0.40345765264476696,0.7027877548002375,0.347942548704873,0.602530110003446,0.5496713591602782
2022-06-09,0.5097545808957029,0.7087611014044446,0.6421122566632138,0.6667762981931223,0.5751884371679571,0.6968893155919089,0.6564747503145041,0.5343107798762149,0.5344064479996148,0.5642683057224113,0.5739114453693066,0.6693153036462095,0.5085982612396861,0.4608666961943382,0.5515052839657744,0.47701044650622687,0.6184862177116689,0.5554552459141895,0.34441486333453075,0.46793636067445427,0.5890993633212677,0.7036759414142497,0.37738988290612735,0.5889150775563331,0.5154410932588577
2022-06-10,0.5438265040148855,0.6364029589564265,0.6614994285380134,0.7129054948606227,0.6148168852207089,0.6710455624728605,0.6305742339351309,0.4890733934286685,0.5189803828550579,0.5171682880438712,0.5873335799918169,0.6625451335891991,0.49567141024156713,0.4821875697554354,0.6238112068741002,0.42294320000211677,0.5794216028207141,0.5469114406340765,0.3604552491214278,0.43281002516121675,0.4904965486003534,0.7030255772861408,0.3961301569686942,0.6087699127901814,0.5247815108926142
2022-06-13,0.5326462146146849,0.533350815066405,0.6223058777136484,0.6917581471431247,0.6099406765820186,0.6725349478323787,0.5966542704087656,0.4794781049703781,0.5214173706791208,0.41400661612599327,0.5841584692398528,0.6391812896836889,0.5174936310469933,0.49285099975801705,0.4238519176661541,0.41463136196880956,0.5209394741644926,0.5647027303131299,0.37386537005053083,0.48146324510022664,0.4153353954005379,0.6522662620943404,0.42337577468674653,0.5903384933765338,0.5107305628635024
2022-06-14,0.5491327137754897,0.4721165004362165,0.6019369486744014,0.6544443412293092,0.6242744455199316,0.6663410469579768,0.586944618882037,0.39862441827705936,0.5227518101956856,0.38395286815886404,0.5874403158806945,0.6388774860968508,0.5415658464444286,0.4794167816369339,0.43391205483900736,0.43960662041858106,0.5108917495682892,0.5041075393817911,0.397365003623172,0.486749655263785,0.43989295770638914,0.5498680888463962,0.4265799773663475,0.5689430867020094,0.47820352721047343
2022-06-15,0.542445600601361,0.5651104125872601,0.6276732110120687,0.6669349059016033,0.5951998153439373,0.6992040705517237,0.6035983768728934,0.4226327646738602,0.45705431689301107,0.4121703895966576,0.5730720568270176,0.6668990704131926,0.5346924645630795,0.5060973021142038,0.5347274538300913,0.438618462484508,0.49580015202189426,0.4814771901709315,0.3976015395128876,0.5167660486711293,0.4222745802694189,0.6003790112993949,0.46062356782191916,0.5510293757010182,0.4502851438951293
2022-06-16,0.5971476147377838,0.5271956276987849,0.5513620143357607,0.6529730673507335,0.5704448763327022,0.700394903686291,0.5853162653527757,0.4245732063600003,0.5123732215446403,0.3377787056297181,0.5393244043967033,0.6193433592274232,0.5333948813997808,0.5012487100518305,0.559033065515976,0.4247804923270387,0.4768969280450799,0.4629727482096229,0.4094232848264165,0.5341075055815454,0.41416684148543736,0.6213197054297385,0.47550144871910077,0.5381191336074204,0.45627335524963514
2022-06-17,0.6487343558195849,0.5941120305700255,0.5583773403726285,0.5656765873815687,0.5420053130157483,0.683420602793099,0.5619114989664425,0.44697193453053213,0.5543592260059418,0.35739084133497256,0.5039366977067506,0.6330958478786531,0.4986023035320565,0.48017154882693003,0.4464975209062462,0.4214724622571423,0.4897108545525577,0.5035223416385246,0.400534199536022,0.5287101433971363,0.3685921445137487,0.5839334551218546,0.4063275681227893,0.5329992942383505,0.45689592366729553
2022-06-21,0.6778367033759433,0.5012533699772183,0.5409415319854673,0.5078276440679419,0.5561278875946433,0.6173534938952427,0.5038574269114106,0.44044785921496354,0.6348856439275802,0.33705841573459877,0.46765730776945086,0.5974419132755939,0.35277304602841186,0.39524048421478764,0.09698923008589536,0.48339767024151525,0.3627273877915454,0.3625072978579742,0.40022577565005024,0.4644667033735932,0.2876684484855094,0.5237614981869372,0.37354576086293795,0.49512952617196154,0.3689004251486583
2022-06-22,0.6119334714582397,0.615472717735936,0.6316192000882521,0.6058846475639884,0.5645901064880952,0.6965705675207274,0.5712323225164267,0.5186923482175207,0.485224374906294,0.42062071888488534,0.4827885098809074,0.6142026659627308,0.44964577870345995,0.4762435074917009,0.4428516857588707,0.47443434978149546,0.50384854429091,0.5555612975371549,0.383138691326191,0.3660409413893688,0.3271329951027144,0.5533222636898956,0.3729721293643401,0.5642744959175203,0.4736159953754936
