stock,selected,factor_set,factors,candidate,family,selection_score,fold_id,active_days,mr_probability_entry,mr_entry_score,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count
AAPL,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
MSFT,True,SPY_XLK,"SPY,XLK",mr_p035_s200,mean_reversion,2.3639673834397352,4.0,49.0,0.35,2.0,0.00714451301161767,5.795555771288714e-05,0.0003888823367105707,2.3657951775239274,-0.001937799374707616,0.2601626016260163,0.007311176336769567,0.050678682901143586,0.3983739837398374,0.8992746894226568
NVDA,True,SPY_XLK,"SPY,XLK",mr_p030_s175,mean_reversion,1.4130774816649605,4.0,11.0,0.3,1.75,0.0022579118414094435,1.835750019843439e-05,0.0002059151552908435,1.4152250274908063,-0.0016547989721265033,0.04878048780487805,0.008590183303383079,0.013511338956429404,0.08943089430894309,1.0565925463161188
AVGO,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
AMD,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
ADBE,True,QQQ_XLK,"QQQ,XLK",mr_p030_s150,mean_reversion,2.329856386872907,4.0,13.0,0.3,1.5,0.005410159859488006,4.391174806492188e-05,0.0002989878061560333,2.3314575903461607,-0.0015254652121619028,0.06504065040650407,0.00640481389301526,0.02587697410533296,0.10569105691056911,0.787792108840877
CRM,True,XLK,XLK,mr_p040_s175,mean_reversion,3.2568572943759126,4.0,38.0,0.4,1.75,0.015029787011166196,0.00012146476675827013,0.0005915183057307539,3.2597357963605584,-0.0015075426777308998,0.2032520325203252,0.0115140079385834,0.03411137153924263,0.3089430894308943,1.4162229764457581
CSCO,True,XLK,XLK,mr_p035_s200,mean_reversion,2.6878837435291327,4.0,21.0,0.35,2.0,0.0036550975298526023,2.9677727946079453e-05,0.00017522937915510269,2.688586400340669,-0.000927635896763479,0.11382113821138211,0.0028106272461446377,0.013566512568689588,0.17073170731707318,0.34570715127579044
INTC,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
ORCL,True,XLK,XLK,mr_p030_s125,mean_reversion,2.510170400535885,4.0,24.0,0.3,1.25,0.010996369538821327,8.907423726635485e-05,0.0005629925854195115,2.5115955641291037,-0.002528907800650737,0.13008130081300814,0.005700654372874555,0.016216010302700704,0.1951219512195122,0.7011804878635703
QCOM,True,SPY_XLK,"SPY,XLK",mr_p035_s150,mean_reversion,2.4299268011417463,4.0,13.0,0.35,1.5,0.007237200819022682,5.870160336875385e-05,0.00038327002531544886,2.4313382286545413,-0.002016656406169881,0.056910569105691054,0.005645710051180373,0.016140108063146766,0.10569105691056911,0.6944223362951859
TXN,True,QQQ_XLK,"QQQ,XLK",mr_p035_s150,mean_reversion,3.692019599521798,4.0,24.0,0.35,1.5,0.006691400975545436,5.4248836242704e-05,0.00023313137583007228,3.6939411291634867,-0.00042916839159645725,0.13821138211382114,0.007686118566753553,0.022862081844318344,0.1951219512195122,0.945392583710687
