date,long_gross,short_gross,stock_gross,hedge_gross,gross_exposure,net_exposure,turnover,net_XLE_exposure,net_XLF_exposure,net_XLI_exposure,net_XLK_exposure,net_XLV_exposure,portfolio_vol_scale
2020-07-01,0.15038668043361617,0.15000000000000002,0.2,0.10038668043361615,0.30038668043361616,0.00038668043361614335,0.30038668043361616,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-02,0.2444955494243386,0.25,0.35,0.14449554942433857,0.49449554942433854,-0.005504450575661443,0.22778609520958953,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-06,0.2442349887513734,0.25,0.35,0.14423498875137336,0.49423498875137334,-0.005765011248626661,0.0007983183708944498,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-07,0.2773521449889162,0.25,0.35,0.17735214498891616,0.5273521449889161,0.027352144988916152,0.1954982634691699,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-08,0.22548389388824938,0.2,0.3,0.1254838938882494,0.42548389388824936,0.02548389388824939,0.10832390773456277,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-09,0.2807610342618322,0.25,0.35,0.18076103426183218,0.5307610342618322,0.03076103426183216,0.1056117062697107,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-10,0.279706239467185,0.25,0.35,0.179706239467185,0.529706239467185,0.029706239467184967,0.002019396829316497,0.0,1.3877787807814457e-17,0.0,0.0,0.0,1.0
2020-07-13,0.33248722634455663,0.3,0.39999999999999997,0.23248722634455665,0.6324872263445567,0.03248722634455665,0.10391036477130228,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-14,0.21592641695357484,0.2108697481783188,0.25,0.1767961651318936,0.4267961651318936,0.0050566687752560055,0.22944729293812757,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-15,0.27176474865622685,0.2631330942490969,0.3,0.23489784290532373,0.5348978429053237,0.008631654407129902,0.11315644832725341,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-16,0.22066012570856092,0.21329762729204374,0.3,0.13395775300060464,0.43395775300060463,0.00736249841651717,0.20171140858734668,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-17,0.21976875327979606,0.21039148617056536,0.3,0.13016023945036137,0.43016023945036136,0.009377267109230744,0.004377109927409535,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-20,0.31141991007301956,0.33477869960611595,0.39999999999999997,0.24619860967913546,0.6461986096791354,-0.023358789533096336,0.3160383702287741,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-21,0.31189368665406525,0.3343009114903138,0.35,0.29619459814437904,0.6461945981443791,-0.0224072248362486,0.10105808322063506,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-22,0.2699508341918553,0.2926996381977567,0.25,0.31265047238961197,0.562650472389612,-0.022748804005901374,0.20037728684464418,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-23,0.35546855289080437,0.394589854849316,0.35,0.4000584077401204,0.7500584077401204,-0.039121301958511615,0.4222296355587119,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-24,0.3560051664724949,0.3922667033468977,0.35,0.39827186981939267,0.7482718698193926,-0.03626153687440281,0.0029365170634075358,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-27,0.40285507027129686,0.4459117474283716,0.49999999999999994,0.34876681769966844,0.8487668176996683,-0.04305667715707473,0.3248583999624274,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-28,0.4011268707808353,0.4563052443957337,0.49999999999999994,0.35743211517656903,0.8574321151765689,-0.05517837361489838,0.2061753308027747,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-29,0.45474742747117075,0.5053444991999921,0.49999999999999994,0.4600919266711629,0.9600919266711628,-0.05059707172882133,0.20820082737847478,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-30,0.45356873559057376,0.5090282058623248,0.44999999999999996,0.5125969414528986,0.9625969414528985,-0.055459470271751035,0.1059707420630236,0.0,0.0,0.0,0.0,0.0,1.0
2020-07-31,0.605791457225055,0.6537870397723516,0.65,0.6095784969974067,1.2595784969974066,-0.04799558254729665,0.612594783570415,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-03,0.7039534680121521,0.7302336233509914,0.7500000000000001,0.6841870913631436,1.4341870913631438,-0.026280155338839484,0.17848940811549757,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-04,0.6050455670507752,0.6325045156633327,0.65,0.5875500827141079,1.237550082714108,-0.027458948612557488,0.19975175013038413,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-05,0.5053181325517868,0.5343147178773582,0.5499999999999999,0.4896328504291452,1.0396328504291452,-0.028996585325571395,0.1991968438651059,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-06,0.46921212953785,0.48411955079147106,0.5499999999999999,0.4033316803293211,0.953331680329321,-0.014907421253621031,0.2152788728566878,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-07,0.41895295621297446,0.445772508914322,0.49999999999999994,0.3647254651272965,0.8647254651272964,-0.026819552701347546,0.09945043767158658,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-10,0.4058108016400011,0.4330844193145398,0.44999999999999996,0.38889522095454093,0.8388952209545408,-0.027273617674538675,0.10447778307305923,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-11,0.39999999999999997,0.44592522381888844,0.44999999999999996,0.3959252238188885,0.8459252238188885,-0.0459252238188885,0.19363031391543303,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-12,0.35,0.38673079726391224,0.39999999999999997,0.33673079726391225,0.7367307972639122,-0.036730797263912304,0.10919442655497619,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-13,0.44999999999999996,0.48222714579962717,0.49999999999999994,0.4322271457996271,0.9322271457996271,-0.03222714579962714,0.2026099484663375,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-14,0.4093899368976829,0.43652747766854416,0.44999999999999996,0.3959174145662271,0.845917414566227,-0.027137540770861265,0.11009031226356306,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-17,0.35963655199411754,0.4032146556447015,0.44999999999999996,0.312851207638819,0.762851207638819,-0.043578103650583955,0.1850405450316535,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-18,0.35,0.4030052342566004,0.39999999999999997,0.35300523425660046,0.7530052342566005,-0.053005234256600434,0.10942713060601647,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-19,0.3,0.3200409876870053,0.35,0.27004098768700535,0.6200409876870053,-0.020040987687005303,0.13296424656959507,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-20,0.35,0.3565629278429788,0.39999999999999997,0.30656292784297884,0.7065629278429788,-0.006562927842978815,0.09308053471295186,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-21,0.39999999999999997,0.39753575586994405,0.44999999999999996,0.3475357558699441,0.7975357558699441,0.002464244130055887,0.09568882108542014,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-24,0.39999999999999997,0.40856785292638054,0.49999999999999994,0.3085678529263805,0.8085678529263804,-0.008567852926380522,0.08988889086568042,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-25,0.35,0.3681233282283872,0.44999999999999996,0.26812332822838725,0.7181233282283872,-0.018123328228387248,0.09059226739520028,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-26,0.3445626620136391,0.36113180540184936,0.44999999999999996,0.25569446741548846,0.7056944674154884,-0.016569143388210188,0.20155418484017704,0.0,0.0,0.0,0.0,-6.938893903907228e-18,1.0
2020-08-27,0.3446756655549019,0.3594578094364627,0.44999999999999996,0.25413347499136457,0.7041334749913646,-0.01478214388156069,0.002341330325490512,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-28,0.27437995292170425,0.30403048739089283,0.35,0.22841044031259708,0.578410440312597,-0.02965053446918859,0.18754851605285056,0.0,0.0,0.0,0.0,0.0,1.0
2020-08-31,0.22470191207898327,0.2515314404878171,0.3,0.17623335256680034,0.4762333525668003,-0.026829528408833833,0.10400113463508018,0.0,0.0,0.0,0.0,-6.938893903907228e-18,1.0
2020-09-01,0.22209994453416934,0.25334978305528244,0.3,0.17544972758945174,0.4754497275894517,-0.0312498385211131,0.005067979493207364,0.0,0.0,0.0,0.0,0.0,1.0
2020-09-02,0.19530862832631563,0.20526695515132418,0.25,0.15057558347763975,0.4005755834776398,-0.009958326825008544,0.2754209802835751,0.0,0.0,0.0,0.0,0.0,1.0
2020-09-03,0.15000000000000002,0.15542042190825278,0.2,0.10542042190825278,0.3054204219082528,-0.005420421908252759,0.09795258494589154,0.0,0.0,0.0,0.0,0.0,1.0
2020-09-04,0.15000000000000002,0.15490242272342564,0.2,0.10490242272342565,0.30490242272342566,-0.004902422723425615,0.0046445233456373775,0.0,0.0,0.0,0.0,0.0,1.0
2020-09-08,0.19429077920890192,0.2178946332591446,0.25,0.16218541246804652,0.4121854124680465,-0.023603854050242692,0.10728298974462086,0.0,0.0,0.0,0.0,0.0,1.0
2020-09-09,0.1931197545196776,0.21614652836681106,0.2,0.20926628288648866,0.4092662828864887,-0.02302677384713346,0.09942291979689077,0.0,0.0,0.0,0.0,0.0,1.0
