date,AAPL,MSFT,NVDA,AVGO,AMD,JPM,BAC,GS,MS,C,XOM,CVX,COP,SLB,EOG,LLY,JNJ,MRK,ABBV,UNH,CAT,HON,UNP,UPS,LMT
2020-07-01,-0.7688451059595939,0.7837916685362163,0.45766942652195797,0.37524448536794347,0.19888772432878193,-1.360120861120313,-1.1519189263977467,1.0437864050035621,,1.6078667138790612,0.050407088785036906,-0.5992904375570549,0.3217045049478686,1.0590024640123752,0.8459263848288258,1.2683552930567463,-0.09211637514000598,-0.2844053704499498,-0.8792945517428555,0.4896647650435373,0.680967287299467,-0.45238583741630545,0.02861181271482891,1.2797453347305787,-1.193434807924294
2020-07-02,-0.43080479090689655,0.8307358905721326,0.4335054150621124,-0.13283304098661472,0.061166627403795006,-1.2298654803637907,-1.388192227445898,1.289862439739545,-3.7325616107027475,1.5167875970660651,0.07812993060114078,-0.6880466896759005,0.20661217617069486,1.082797847653458,1.2699996511344216,0.9795313861909242,0.6416372590827374,-0.20826607659578128,-0.9495583087507238,0.49508621001148473,0.8325779387886105,-0.3940871759180739,-0.3823166035216358,0.9880913780746922,-1.2398877825748424
2020-07-06,-0.21200533373016356,0.5815409509158632,0.4586700837424911,-0.06856138447228328,0.320870489767379,-1.4935851312718789,-1.3855146533570921,1.1308310313053056,,1.4953422711904492,-0.004938414539755915,-0.5884812156277258,0.5564843630469811,1.0700140676594725,1.3405485260928618,0.8346930004434635,0.8332261869178766,-0.21855086693197223,-0.6379104055073189,0.13333752092583004,1.1880911252200228,-0.37283969812053636,-0.17921947645949654,0.9955868246186984,-1.2139875756739067
2020-07-07,-0.5826988926511877,0.5966979297277125,0.5333614022686709,-0.43949221939990396,0.3016950221302891,-1.5271855436203412,-1.6415606693707716,2.108067773900067,-4.447560275464521,1.3857075153310634,0.14182684337573756,-0.636149938279658,0.35006111093670694,1.916485876250663,1.1266758504036596,0.9195075285455134,0.19413415917104143,-0.3181754305165448,-0.5383736340910964,0.3706023850643128,1.0636954681409645,-0.49061324273555346,-0.003326695083064594,0.7322456540759006,-0.8903426929441511
2020-07-08,-2.0067450651434453,0.5581676434001023,0.7529363933403785,-0.5939701494687095,0.36933205295937876,-1.9058269663276342,-1.5286241889651562,1.5200778404081274,-2.117890982863234,1.3035006865427308,0.2808348930075448,-0.6424554141411994,0.6459198101289276,1.838486684619267,0.6464927841332135,1.04135581153874,-0.1992613097563094,-0.37147052547717363,-0.9432457352195528,-0.2772439070529538,1.0420874359484835,-0.3335077989746487,0.06539890093234697,0.7134346440673679,-0.3641190718012848
2020-07-09,,0.7656264174608393,0.9468605476809742,-0.538243180414461,0.33678673778894547,-1.531707735403081,-1.4033525060917083,1.702383691434616,-9.953425099097625,0.997023931026352,0.22238013069955861,-0.5787767922607622,1.0184107064571823,1.5634573373450764,0.1439353168396577,1.2568995963676792,0.2115834319173959,-0.7983472303404054,-0.7589210146158519,-0.009870304772515168,1.5158027043314253,-0.21026963414510233,-0.18602417352932157,0.8873473604238648,0.15521156046132178
2020-07-10,,1.0593436754706138,0.9605831339779596,-0.6132020356663642,-0.008768539371767097,-1.3615034957598757,-1.166835833476719,1.3524632889611659,-4.019542898576001,1.121056835646528,0.42473769443617443,-0.7049621311049514,0.5831717160146422,1.6251078666996552,-0.27796550421766647,1.1122198262411758,0.2580549841411358,-1.155097722355014,-0.5090825006148764,-0.8862683488271706,1.5704269219555178,-0.33024005823018293,-0.19087831042616812,0.5031389464682047,1.543169123316595
2020-07-13,,1.5459483796604117,0.7916911791907401,-0.7836651697988368,-0.24830696701475474,-0.7144839107872053,-0.9344790515663027,1.5550765092980394,,1.2207269625041133,0.5604100180362995,-0.3933868869904138,0.6429458414852479,1.566271965555848,-0.9517576441198015,0.797073522280272,0.22838547713627716,-1.010485341803302,-0.28739159640870665,-0.6649635347789898,1.9950317575796717,-0.4909648331743976,-0.7348414163552306,1.0052560262425088,-0.24455555155276001
2020-07-14,,1.0992555916665507,0.753755497442899,-0.7546019435438802,-0.32619508113925394,-0.02007352859198113,-0.7617197029077182,1.6415696278449505,-7.437485835657253,0.7260340411411846,0.9208081204422606,-0.09310718669995151,0.8042347791278274,1.1006770951775093,-1.1066170611244754,0.5003556885347868,0.2185546096094723,-0.8654455046887437,-0.24909103454581258,0.6264733859204636,2.027051801684019,-0.4148079297636625,0.00944484062294562,0.7870391494837283,-0.6193517674327833
2020-07-15,-12.03155500989523,0.8547806454403968,0.8567164888227844,-0.7833607704518909,-0.39483768633081484,-0.05934542714246556,-1.1355053044933197,1.6527372798239406,-4.603516642153776,-0.8872266415283994,0.795035168945822,0.1923277527590503,0.9161902294182556,1.3687060670222273,-0.5877265602541846,0.3461938372019326,0.34063791727593484,-1.316094139469147,-0.29164683315329054,0.8788163707754693,2.1926214726845368,-0.15754478123836907,-0.11904267376872989,0.8145244546967649,-0.27105235275510714
2020-07-16,-22.08040520141683,0.6086849252130162,0.7113862874840098,-1.0132780777075414,-0.29087180893838144,-0.387748692134139,-1.2509551708608349,1.5029764106912695,-2.4607741884462313,-0.9016259800054421,0.5363466708568525,-0.2903185426251795,0.333225552025564,1.2364312951167806,-1.2565631284546812,0.2610538039987855,0.198174579369427,-1.1107210618926775,-0.16216230753273522,-1.0087578112007882,1.8019852171574473,-0.25431284739592924,-0.5622343682493038,0.6855479539008164,-0.3518000882071052
2020-07-17,-4.309041337835866,0.24672561801740236,0.6903115674654015,-0.8043569190429196,-0.3150180037063562,-0.2571424153792629,-0.7947067189755419,1.2685251542332394,,-1.1799290569360121,0.34111454234251526,-0.3409431173724511,0.5127357193266745,1.169595172276046,-0.6847907456143073,0.2770470699442207,0.4529999371514725,-0.9757515694356179,-0.12169228179806507,-0.3115378987656559,1.5853678176136297,0.0031455235759827926,0.4339490796227534,-0.7992847693687634,-0.42812437997953656
