date,long_gross,short_gross,stock_gross,hedge_gross,gross_exposure,net_exposure,turnover,net_SPY_exposure,net_XLK_exposure,net_QQQ_exposure
2020-07-01,0.0,0.05,0.05,0.0,0.05,-0.05,0.05,-0.0035799957973184715,-0.016378411785311582,-0.04031058146081741
2020-07-02,0.0,0.05,0.05,0.0,0.05,-0.05,0.0,-0.0010068836459107507,-0.032160481044769804,-0.02540684668215315
2020-07-06,0.0,0.05,0.05,0.0,0.05,-0.05,0.0,0.003615563897939447,-0.04816799005921279,-0.012858272064971608
2020-07-07,0.0,0.05,0.05,0.0,0.05,-0.05,0.0,6.766351442001122e-05,-0.053337003530731036,-0.004533129025889394
2020-07-08,0.0,0.05,0.05,0.0,0.05,-0.05,0.0,-0.006984352145905636,-0.04625511572621005,-0.005403625509342467
2020-07-09,0.0,0.05,0.05,0.0,0.05,-0.05,0.0,-0.011745282681148585,-0.052132113736112866,0.005831079277578706
2020-07-10,0.0,0.05,0.05,0.0,0.05,-0.05,0.1,-0.037610946112174595,-0.08466614586722901,0.06567837549876818
2020-07-13,0.0,0.05,0.05,0.0,0.05,-0.05,0.0,-0.036519345980426755,-0.08679502200213607,0.06710528495975115
2020-07-14,0.0,-0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0
2020-07-15,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-16,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-17,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-20,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-21,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-22,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-07-23,0.05,0.05,0.1,0.0,0.1,0.0,0.1,0.07714492891047983,0.04668281546386475,-0.12232876247904993
2020-07-24,0.1,0.05,0.15000000000000002,0.0,0.15000000000000002,0.05,0.05,0.06970357989511633,0.08777187331521581,-0.11175469234531929
2020-07-27,0.15000000000000002,-0.0,0.15000000000000002,0.0,0.15000000000000002,0.15000000000000002,0.1,0.031421380610543156,0.1639484926570894,-0.03680329097392073
2020-07-28,0.1,-0.0,0.1,0.0,0.1,0.1,0.05,0.023144071527558596,0.11554758984671135,-0.034834934926848624
2020-07-29,0.1,0.05,0.15000000000000002,0.0,0.15000000000000002,0.05,0.05,0.05193180674122623,0.06113441350690544,-0.05936114051141094
2020-07-30,0.1,0.05,0.15000000000000002,0.0,0.15000000000000002,0.05,0.0,0.05070154827833846,0.06196359015893977,-0.05904337435294473
2020-07-31,0.1,0.05,0.15000000000000002,0.0,0.15000000000000002,0.05,0.1,0.019130571252314415,0.03912098697034469,-0.011054878179311403
2020-08-03,0.05,0.05,0.1,0.0,0.1,0.0,0.05,0.01904304204463457,0.024789336054367415,-0.046158923283614386
2020-08-04,0.1,0.1,0.2,0.0,0.2,0.0,0.1,0.07619240022029078,-0.017613470191268403,-0.06531146798277473
2020-08-05,0.1,0.1,0.2,0.0,0.2,0.0,0.0,0.07445840666074813,-0.01811798398669618,-0.06442015801181464
2020-08-06,0.1,0.1,0.2,0.0,0.2,0.0,0.0,0.07486601252296354,-0.017450576043992083,-0.06576407231503256
2020-08-07,0.1,0.1,0.2,0.0,0.2,0.0,0.0,0.07585242245968046,-0.019002000382713123,-0.06415287248651505
2020-08-10,0.1,0.1,0.2,0.0,0.2,0.0,0.0,0.07688497366504403,-0.026168778806713498,-0.0602161298941262
2020-08-11,0.1,0.1,0.2,0.0,0.2,0.0,0.0,0.07618323839939319,-0.026623314375712887,-0.06064173557933758
2020-08-12,0.15000000000000002,0.1,0.25,0.0,0.25,0.05,0.05,0.10088713354476099,-0.014671109491964172,-0.06084132028223711
2020-08-13,0.2,0.1,0.3,0.0,0.3,0.10000000000000002,0.05,0.08479282123415169,0.05985921869254947,-0.07388018286841157
2020-08-14,0.2,0.1,0.3,0.0,0.3,0.10000000000000002,0.0,0.09817684813879693,0.04906793102150761,-0.07139988434216758
2020-08-17,0.2,0.15000000000000002,0.35,0.0,0.35,0.05,0.05,0.14459426072730744,0.01741485455740266,-0.13817626048750564
2020-08-18,0.2,0.15000000000000002,0.35,0.0,0.35,0.05,0.0,0.14404030226694628,0.021037564439719422,-0.1408041998182108
2020-08-19,0.15000000000000002,0.15000000000000002,0.3,0.0,0.3,0.0,0.05,0.16621095647172568,-0.04856057972263299,-0.1388328585467582
2020-08-20,0.15000000000000002,0.1,0.25,0.0,0.25,0.05,0.15000000000000002,0.09838696081765527,0.08601096319527593,-0.14253912111405773
2020-08-21,0.15000000000000002,0.15000000000000002,0.3,0.0,0.3,0.0,0.05,0.10902678616786762,0.04384901169044065,-0.1619586210126974
2020-08-24,0.15000000000000002,0.1,0.25,0.0,0.25,0.05,0.05,0.09225576806233143,0.05961133673937617,-0.1114057008172955
2020-08-25,0.15000000000000002,0.1,0.25,0.0,0.25,0.05,0.0,0.0974465566311137,0.06354766736157444,-0.12254238130312341
2020-08-26,0.15000000000000002,0.15000000000000002,0.3,0.0,0.3,0.0,0.05,0.12934168683824188,0.014920067137748773,-0.1545252094142743
2020-08-27,0.1,0.05,0.15000000000000002,0.0,0.15000000000000002,0.05,0.25,0.03246337796799479,0.11335146085266935,-0.099470271031449
2020-08-28,0.1,-0.0,0.1,0.0,0.1,0.1,0.05,-0.00694304068432422,0.12566265064793453,-0.020095861538661906
2020-08-31,0.05,-0.0,0.05,0.0,0.05,0.05,0.05,0.020511614054852457,0.0646008242705195,-0.036627827411677784
2020-09-01,0.1,-0.0,0.1,0.0,0.1,0.1,0.05,-0.0050053746103837955,0.1300112925072861,-0.025726580322265137
2020-09-02,0.05,0.05,0.1,0.0,0.1,0.0,0.1,0.00039980984205997827,0.03456888775996519,-0.04178254291725346
2020-09-03,0.05,0.05,0.1,0.0,0.1,0.0,0.0,-0.005149590127710657,0.03634128218088099,-0.039737902951137875
2020-09-04,0.05,0.05,0.1,0.0,0.1,0.0,0.0,0.00023611203885340326,0.02589837866078889,-0.03934207711250086
2020-09-08,0.05,0.1,0.15000000000000002,0.0,0.15000000000000002,-0.05,0.05,-0.015398170897457082,-0.04127117035952262,-0.0048296474321473035
2020-09-09,0.05,0.1,0.15000000000000002,0.0,0.15000000000000002,-0.05,0.0,-0.013760228467648175,-0.04098560060668749,-0.003988055580514287
2020-09-10,0.05,0.1,0.15000000000000002,0.0,0.15000000000000002,-0.05,0.0,-0.012279394098219012,-0.045840105695207446,-0.000492929234566987
