,intercept,residual,residual_mean,residual_vol,spread_bps,imbalance,microprice_pressure
AAPL,0.00010674313202764442,-0.034269378896950684,0.01115727925597698,-0.001659014754347126,2.718177441470416e-05,-0.00012751641585733773,-6.375819015075714e-05
MSFT,-0.00031051692075531264,-0.0008652126785172237,-0.006165431583329713,0.002374462808726054,0.00017576840602087282,4.1891990401971124e-05,2.0946014712180197e-05
NVDA,0.0002971643507607609,0.0019138222043880724,0.029056900377603872,-0.008891759030119871,-3.4692546392201435e-05,-1.4188367139884368e-05,-7.094178776533486e-06
