date,gross_pnl,transaction_cost,net_pnl
2021-12-08,0.0,0.0,0.0
2021-12-09,0.00022836407555311178,4.842597494927072e-05,0.00017993810060384105
2021-12-10,0.00047943977155940904,3.2585857538987296e-07,0.00047911391298401915
2021-12-13,0.0,4.810011637388085e-05,-4.810011637388085e-05
2021-12-14,0.0,0.0,0.0
2021-12-15,0.0,0.0,0.0
2021-12-16,0.0,0.0,0.0
2021-12-17,-0.0005600475925738365,8.025094942851549e-05,-0.0006402985420023519
2021-12-20,-0.001003176279571842,6.565372456920046e-05,-0.0010688300041410423
2021-12-21,-0.00014717696785999208,4.7561741098591654e-07,-0.000147652585270978
2021-12-22,-0.0004970396173737449,2.7273677006632927e-07,-0.0004973123541438113
2021-12-23,-0.00040234030521786514,7.022886594932401e-07,-0.00040304259387735836
2021-12-27,0.0003425709088978341,6.524912674509826e-05,0.00027732178215273583
2021-12-28,0.00014048652478159453,5.605720246930277e-07,0.0001399259527569015
2021-12-29,-0.00022697668806031932,4.872780976892463e-07,-0.00022746396615800856
2021-12-30,0.0,4.967343865836662e-05,-4.967343865836662e-05
2021-12-31,0.0,0.0,0.0
2022-01-03,0.0,0.0,0.0
2022-01-04,0.0005208874712306062,4.698541709385003e-05,0.00047390205413675617
2022-01-05,0.0,4.698541709385003e-05,-4.698541709385003e-05
2022-01-06,0.0006522699801895535,5.742243410151379e-05,0.0005948475460880397
2022-01-07,0.0020391970923701527,4.5318048045459086e-05,0.0019938790443246937
2022-01-10,-0.0013185946340985126,0.0001022261919358163,-0.001420820826034329
2022-01-11,-0.0003581014962433844,1.0541002374247835e-06,-0.00035915559648080913
2022-01-12,0.0005976840367070813,5.748693278639855e-05,0.0005401971039206828
2022-01-13,-0.001026385253069541,2.7607221480298318e-08,-0.0010264128602910211
2022-01-14,3.274345184208974e-05,1.5352206664115565e-06,3.1208231175678186e-05
2022-01-18,7.534860802384605e-05,1.6765467261550815e-08,7.53318425565845e-05
2022-01-19,0.001426026378304169,7.96471971674078e-08,0.0014259467311070015
2022-01-20,0.001110816616733001,4.910590830173317e-05,0.0010617107084312679
