stock,selected,factor_set,factors,candidate,family,selection_score,fold_id,active_days,mr_probability_entry,mr_entry_score,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count
AAPL,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
MSFT,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
NVDA,True,QQQ_XLK,"QQQ,XLK",mr_p040_s125,mean_reversion,1.8795633598872636,7.0,35.0,0.4,1.25,0.01166509082947309,9.538577575163221e-05,0.0008038113963402859,1.8837780285336247,-0.0026855480374623486,0.18032786885245902,0.016858674585444093,0.07486843269110015,0.28688524590163933,2.0567582994241795
AVGO,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
AMD,True,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p040_s125,mean_reversion,2.490312294083991,7.0,17.0,0.4,1.25,0.007755447909554514,6.34064193917547e-05,0.0004028821365370075,2.498362702466009,-0.0012732658315585121,0.08196721311475409,0.03220163352807344,0.04389278152237851,0.13934426229508196,3.92859929042496
ADBE,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
CRM,True,XLK,XLK,mr_p030_s150,mean_reversion,2.211321102030141,7.0,20.0,0.3,1.5,0.003950577880410533,3.234522074050277e-05,0.000232108462998667,2.212174663739433,-0.0014098580146786333,0.12295081967213115,0.003414246837167134,0.01597676559720416,0.16393442622950818,0.41653811413439035
CSCO,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
INTC,True,XLK,XLK,mr_p040_s175,mean_reversion,4.713194284551198,7.0,23.0,0.4,1.75,0.01352359384155144,0.00011018051498735202,0.00037092742257446376,4.7153738047993095,-0.0006821586140934865,0.16393442622950818,0.008718080992444756,0.019359135487589933,0.1885245901639344,1.0636058810782603
ORCL,True,XLK,XLK,mr_p040_s125,mean_reversion,3.9330634779239753,7.0,14.0,0.4,1.25,0.004727253426357825,3.866949551835695e-05,0.000156025132563144,3.9343610911335962,-0.0002851675151176458,0.09836065573770492,0.005190452838484394,0.010580877845004485,0.11475409836065574,0.6332352462950961
QCOM,True,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p040_s175,mean_reversion,1.2257718067457353,7.0,14.0,0.4,1.75,0.00291767960723055,2.392820894064871e-05,0.000309108844700815,1.2288504440063706,-0.0026886974845330425,0.05737704918032787,0.012314549042541527,0.019314551849672068,0.11475409836065574,1.5023749831900663
TXN,True,SPY_XLK,"SPY,XLK",mr_p035_s125,mean_reversion,2.0892473528383224,7.0,10.0,0.35,1.25,0.0036766447496103805,3.0107504708105375e-05,0.00022861249549371022,2.0906198468896395,-0.0004914873933770103,0.07377049180327869,0.005489976205268155,0.008606900040129194,0.08196721311475409,0.6697770970427148
