date,gross_pnl,transaction_cost,net_pnl
2020-07-01,-0.00043354826373115065,4.981240080483897e-05,-0.0004833606645359896
2020-07-02,-6.817021755284232e-05,7.395341451493092e-08,-6.824417096735726e-05
2020-07-06,-0.00021329975105338186,4.9595988117936095e-05,-0.000262895739171318
2020-07-07,-0.0005060781829180935,1.401998580577331e-07,-0.0005062183827761513
2020-07-08,-0.0008542431509306597,5.0950064830626265e-05,-0.0009051932157612859
2020-07-09,0.0006942212870101351,1.7516220935704165e-07,0.0006940461248007781
2020-07-10,-3.167332193668366e-05,4.895717988177775e-05,-8.063050181846141e-05
2020-07-13,0.003971036924458986,8.225079011094857e-07,0.003970214416557876
2020-07-14,7.948266327259976e-05,9.989415011770337e-05,-2.041148684510361e-05
2020-07-15,0.00024169160503763936,2.0133201228741266e-07,0.00024149027302535194
2020-07-16,-7.54240893441969e-05,5.0510862667183404e-05,-0.0001259349520113803
2020-07-17,0.0008177220949085065,3.83747376245476e-07,0.000817338347532261
2020-07-20,0.0,4.8632359443037676e-05,-4.8632359443037676e-05
2020-07-21,0.0,0.0,0.0
2020-07-22,0.0,0.0,0.0
2020-07-23,0.0003422285735907413,5.3253382799269015e-05,0.00028897519079147227
2020-07-24,-0.00789657785311762,4.768128541490526e-05,-0.007944259138532526
2020-07-27,-0.0014290464888557413,0.00010608954899802523,-0.0015351360378537664
2020-07-28,-0.0002726121234213432,5.190852791423528e-05,-0.0003245206513355785
2020-07-29,0.0002508273394175052,6.734299360622622e-07,0.00025015390948144293
2020-07-30,0.00032926732316043445,8.049877036048203e-08,0.000329186824390074
2020-07-31,0.002185710472790558,0.00010362404167567103,0.0020820864311148868
2020-08-03,-0.0004317141797571737,5.0443532357163246e-05,-0.00048215771211433694
2020-08-04,6.31688286635306e-05,9.928466409767215e-05,-3.6115835434141546e-05
2020-08-05,0.00012406852910595094,1.2254756905907133e-07,0.00012394598153689186
2020-08-06,0.0001222558540685953,1.0596617589526263e-08,0.00012224525745100576
2020-08-07,0.0006650229338824262,3.9419053041761314e-05,0.0006256038808406649
2020-08-10,-0.0005454433529291833,1.4649355898391712e-06,-0.0005469082885190225
2020-08-11,-0.0013994072323651888,9.820693966621635e-08,-0.001399505439304855
2020-08-12,-0.00259199036519508,6.538367737292105e-07,-0.002592644201968809
2020-08-13,0.0005274038402480753,4.9805271573656157e-05,0.00047759856867441916
