fold_id,stock,factor_set,factors,candidate,family,selection_score,active_days,mr_probability_entry,mr_entry_score,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count,selected
2.0,AAPL,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p040_s200,mean_reversion,3.2062102051690697,10.0,0.4,2.0,0.0035910191293639926,2.963578381580865e-05,0.00014666397725044536,3.207696205505613,-0.0001680007776220238,0.06611570247933884,0.00594400134617274,0.014063981851995333,0.08264462809917356,0.7192241628869015,True
2.0,MSFT,QQQ_XLK,"QQQ,XLK",mr_p035_s125,mean_reversion,2.715976636984304,10.0,0.35,1.25,0.003340791160196588,2.7577066853403473e-05,0.00016108173053323827,2.7177033872622625,-0.0004606024383445595,0.05785123966942149,0.006907001111834429,0.00930361606277163,0.08264462809917356,0.8357471345319659,True
2.0,NVDA,XLK,XLK,mr_p035_s150,mean_reversion,1.8836914923411736,13.0,0.35,1.5,0.002811457410852425,2.3221774982416575e-05,0.00019537687419810934,1.886785481356732,-0.001176429398325629,0.08264462809917356,0.012375956062233661,0.016298718725825483,0.10743801652892562,1.497490683530273,True
2.0,AVGO,QQQ_XLK,"QQQ,XLK",mr_p035_s125,mean_reversion,2.8472501081040535,18.0,0.35,1.25,0.0061712919267515876,5.0886807527042095e-05,0.00028350988042709737,2.84929408868027,-0.0009406109667021711,0.09917355371900827,0.00817592230486485,0.022238538796575412,0.1487603305785124,0.989286598888647,True
2.0,AMD,XLK,XLK,mr_p030_s125,mean_reversion,2.874404742142266,10.0,0.3,1.25,0.007423224413162233,6.118075863962601e-05,0.00033771840337248454,2.8758113996681,-0.0012454499757991178,0.06611570247933884,0.00562663010333554,0.011005031567031465,0.08264462809917356,0.6808222425036004,True
2.0,ADBE,XLK,XLK,mr_p035_s125,mean_reversion,2.2661352123398286,11.0,0.35,1.25,0.00427503057206069,3.5286343985162966e-05,0.00024683006154812393,2.2693886703071393,-0.0010075944145963023,0.06611570247933884,0.013013831869242721,0.010248964474532699,0.09090909090909091,1.5746736561783692,True
,CRM,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
,CSCO,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
2.0,INTC,SPY_XLK,"SPY,XLK",mr_p035_s150,mean_reversion,2.0009279955035364,15.0,0.35,1.5,0.0065694289697781905,5.4208157736624747e-05,0.00042975477281214107,2.002369446141298,-0.0012576687513797813,0.0743801652892562,0.005765802551046675,0.012421255157998174,0.12396694214876033,0.6976621086766477,True
2.0,ORCL,XLK,XLK,mr_p040_s125,mean_reversion,1.7279375706775781,35.0,0.4,1.25,0.004753608511591789,3.925806158449589e-05,0.0003604726851235948,1.7288477966882012,-0.001192714204379497,0.1487603305785124,0.0036409040424919413,0.024393206394847225,0.2892561983471074,0.4405493891415249,True
,QCOM,flat,,flat,flat,-inf,,,,,,,,,,,,,,False
2.0,TXN,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p035_s175,mean_reversion,1.6811614163088244,37.0,0.35,1.75,0.005226786930675464,4.316717093848281e-05,0.00040712437518549587,1.6831652349983246,-0.0024348174600208328,0.18181818181818182,0.008015274758000708,0.033207451967120216,0.30578512396694213,0.9698482457180857,True
