,intercept,residual,residual_mean,residual_vol,spread_bps,imbalance,microprice_pressure
AAPL,0.00019241008934847953,-0.12250680111367397,-0.019692953356045803,-0.1691684589689661,4.260347762136013e-05,2.4825183282747056e-05,1.2411818469374476e-05
MSFT,-0.0002524070342168516,0.03441061736008842,-0.017121398548891303,0.08402998928203881,0.00027445224388634613,-0.00012410284151857627,-6.20509632649312e-05
NVDA,-0.00039041418618370534,-0.0412703349777033,-0.08275364374179586,0.2856859809330558,-0.0001397225776766468,-7.914342082456328e-06,-3.95751788674971e-06
