candidate,selected_folds
invtrend_p060_s150,2
mr_p035_s175__inv_p070_s125,2
mr_p030_s125,2
invtrend_p060_s100,1
invtrend_p065_s100,1
mr_p035_s175__inv_p065_s150,1
mr_p035_s150__inv_p065_s125,1
mr_p035_s200,1
mr_p030_s200,1
mr_p035_s150,1
mr_p035_s125,1
mr_p035_s175__inv_p065_s125,1
mr_p030_s175__inv_p070_s150,1
mr_p030_s175__inv_p065_s150,1
