stock,selected,factor_set,factors,candidate,family,selection_score,fold_id,active_days,mr_probability_entry,mr_entry_score,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count
AAPL,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
MSFT,True,QQQ_XLK,"QQQ,XLK",mr_p035_s175,mean_reversion,2.336950252035989,1.0,22.0,0.35,1.75,0.003303197874707786,2.7047838138117656e-05,0.0001835246065852707,2.339583379479023,-0.0009033760468428742,0.13934426229508196,0.010532509772137034,0.021303948835936486,0.18032786885245902,1.284966192200718
NVDA,True,XLK,XLK,mr_p030_s150,mean_reversion,3.25009437139757,1.0,12.0,0.3,1.5,0.004390938684107004,3.592840261252969e-05,0.00017538482139777437,3.251967333055534,-0.0002472852818168336,0.08196721311475409,0.007491846631856446,0.014888730331895948,0.09836065573770492,0.9140052890864865
AVGO,True,XLK,XLK,mr_p030_s125,mean_reversion,1.6486344621713402,1.0,31.0,0.3,1.25,0.0029370446728118615,2.4065710542248354e-05,0.00023149938055468897,1.6502476611287382,-0.001166764951120114,0.13934426229508196,0.00645279582959209,0.023986565865527557,0.2540983606557377,0.787241091210235
AMD,True,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p040_s175,mean_reversion,3.1598298907172735,1.0,13.0,0.4,1.75,0.011303981851975564,9.224624676723354e-05,0.00046305220870122827,3.1624161216257494,-0.001205228164973926,0.09016393442622951,0.010344923633903083,0.02950426148828472,0.10655737704918032,1.2620806833361762
ADBE,True,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p040_s150,mean_reversion,1.5628868428651994,1.0,37.0,0.4,1.5,0.0036708513016772137,3.0080467827960294e-05,0.00030503638724990766,1.5654283984433655,-0.0030391705139246605,0.19672131147540983,0.010166222312664293,0.059472624700480745,0.30327868852459017,1.2402791221450438
CRM,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
CSCO,True,QQQ_XLK,"QQQ,XLK",mr_p030_s125,mean_reversion,2.6807127799483466,1.0,15.0,0.3,1.25,0.005550414240780732,4.540618790326079e-05,0.0002686685450082247,2.6828629567741866,-0.0007324089962928992,0.09836065573770492,0.008600707303360058,0.015325513571370488,0.12295081967213115,1.0492862910099272
INTC,True,QQQ_XLK,"QQQ,XLK",mr_p030_s150,mean_reversion,2.0580469520604168,1.0,21.0,0.3,1.5,0.0106631476314889,8.716703119807199e-05,0.0006717422737063166,2.059917585369066,-0.0017168996661105496,0.12295081967213115,0.00748253323459824,0.016289587568255447,0.1721311475409836,0.9128690546209852
ORCL,True,XLK,XLK,mr_p030_s150,mean_reversion,1.6380441581894467,1.0,10.0,0.3,1.5,0.003784508512715057,3.100716152157011e-05,0.0003003750944345023,1.638695879281179,-0.0010816007671075045,0.06557377049180328,0.002606884366928795,0.0060187000587170435,0.08196721311475409,0.31803989276531297
QCOM,False,flat,,flat,flat,-inf,,,,,,,,,,,,,,
TXN,True,SPY_QQQ_XLK,"SPY,QQQ,XLK",mr_p040_s175,mean_reversion,1.4940233235305682,1.0,43.0,0.4,1.75,0.0048564225168217234,3.979955918510762e-05,0.00042224663638865345,1.4962781486344723,-0.0024348174600204997,0.19672131147540983,0.00901930041561664,0.037436479791423394,0.3524590163934426,1.10035465070523
