timestamp,AAPL,MSFT,NVDA
2019-01-18 10:15:00-05:00,,,
2019-01-18 10:30:00-05:00,,,
2019-01-18 10:45:00-05:00,,,
2019-01-18 11:00:00-05:00,,,
2019-01-18 11:15:00-05:00,,,
2019-01-18 11:30:00-05:00,-8.344753133435538e-05,-0.00011955378768348354,0.00023347629666419626
2019-01-18 11:45:00-05:00,0.00026654900246040367,-7.540888008827286e-05,0.00020225252361546337
2019-01-18 12:00:00-05:00,-0.00012080982770562969,-0.00012147280787212401,0.0002789618878239338
2019-01-18 12:15:00-05:00,8.818592761578476e-05,-0.00011926937497092902,0.00013734094968168695
2019-01-18 12:30:00-05:00,0.00015083634813634015,-0.000131916727101259,0.00021389637675607327
2019-01-18 12:45:00-05:00,8.042903919991209e-05,-0.00010755399354130438,9.237716110931968e-05
2019-01-18 13:00:00-05:00,-7.670634459938053e-05,-0.00010559416032883946,0.0002124962036549857
2019-01-18 13:15:00-05:00,2.8106688420672954e-06,-7.725998755416332e-05,0.0001423462149277194
2019-01-18 13:30:00-05:00,-7.163881945950166e-05,-0.00011331728158407881,0.0002871030741871688
2019-01-18 13:45:00-05:00,-6.69650784608326e-05,-0.00012874500315224245,0.00025926667989045337
2019-01-18 14:00:00-05:00,-7.475301042564569e-05,-8.448484516619013e-05,0.000237907890774238
2019-01-18 14:15:00-05:00,-0.0003187679474380852,-0.000143121672474002,0.0002481943635903931
2019-01-18 14:30:00-05:00,0.00021858473006324745,-7.479628498895552e-05,0.00020434539001370033
2019-01-18 14:45:00-05:00,-5.303666390494283e-07,-0.00013611920295998216,0.00010012660474781649
2019-01-18 15:00:00-05:00,2.0396086009993085e-06,-8.596382217452612e-05,0.0002267633050556158
2019-01-18 15:15:00-05:00,-4.140027351445114e-05,-0.00011143060097135796,0.00016598502970882864
2019-01-18 15:30:00-05:00,-4.449564208983086e-05,-8.43749311995292e-05,0.00030285573738825504
2019-01-21 10:15:00-05:00,,,
2019-01-21 10:30:00-05:00,,,
2019-01-21 10:45:00-05:00,,,
2019-01-21 11:00:00-05:00,,,
2019-01-21 11:15:00-05:00,,,
2019-01-21 11:30:00-05:00,,,
2019-01-21 11:45:00-05:00,,,
2019-01-21 12:00:00-05:00,,,
2019-01-21 12:15:00-05:00,,,
2019-01-21 12:30:00-05:00,,,
2019-01-21 12:45:00-05:00,,,
2019-01-21 13:00:00-05:00,,,
2019-01-21 13:15:00-05:00,,,
2019-01-21 13:30:00-05:00,,,
2019-01-21 13:45:00-05:00,,,
2019-01-21 14:00:00-05:00,,,
2019-01-21 14:15:00-05:00,,,
2019-01-21 14:30:00-05:00,,,
2019-01-21 14:45:00-05:00,,,
2019-01-21 15:00:00-05:00,,,
2019-01-21 15:15:00-05:00,,,
2019-01-21 15:30:00-05:00,,,
2019-01-22 10:15:00-05:00,,,
2019-01-22 10:30:00-05:00,,,
2019-01-22 10:45:00-05:00,,,
2019-01-22 11:00:00-05:00,,,
2019-01-22 11:15:00-05:00,,,
2019-01-22 11:30:00-05:00,-8.94426941403977e-05,-8.923902973853998e-05,0.00035493675920336205
2019-01-22 11:45:00-05:00,1.130681415541175e-06,-5.4846976334905985e-05,0.0002526270360375395
2019-01-22 12:00:00-05:00,4.886162474321301e-05,-8.124480207012944e-05,0.0004676463982382436
2019-01-22 12:15:00-05:00,0.00012339719787860816,-0.0001242931916273019,0.00040188671355885947
2019-01-22 12:30:00-05:00,4.768950950612299e-05,-9.002259286603646e-05,0.00019576869510532334
2019-01-22 12:45:00-05:00,0.00015744833186620582,-0.00010675001531720626,0.00020279068395734226
2019-01-22 13:00:00-05:00,0.00011926605771127144,-0.00011722870255893413,0.00032125474459896114
2019-01-22 13:15:00-05:00,-0.00012177609179642682,-0.00010159594793481467,0.00033899206397586983
2019-01-22 13:30:00-05:00,-0.0001565996419784451,-6.680114592923003e-05,0.00014925229150943145
2019-01-22 13:45:00-05:00,-0.00012072403593660251,-8.560279665504389e-05,0.00046617886006197437
2019-01-22 14:00:00-05:00,-0.00019013833799082954,-4.945296627992077e-05,0.0002770718809746879
2019-01-22 14:15:00-05:00,6.549634695969589e-05,-5.2490681552500554e-05,0.00015372792623317353
2019-01-22 14:30:00-05:00,-0.00015919809287388433,-0.00012010132410942083,0.00030674300907314317
2019-01-22 14:45:00-05:00,-6.83945780395529e-05,0.00038961159199335673,0.0002124416736962558
2019-01-22 15:00:00-05:00,-3.872558390951249e-05,-0.00010493386220467981,0.0003097412705161914
2019-01-22 15:15:00-05:00,4.4265801188973106e-05,-8.684307774035098e-05,0.0002153638235679229
2019-01-22 15:30:00-05:00,3.3506293191841445e-05,-9.294721236413866e-05,0.00018951166240190444
2019-01-23 10:15:00-05:00,9.168518962617156e-05,-4.9491265760546956e-05,0.00030772088081605203
2019-01-23 10:30:00-05:00,-0.00015191458840224496,-0.00011467799367883878,0.0002518100265543854
2019-01-23 10:45:00-05:00,-7.285639704281006e-05,-8.109387435335344e-05,0.0001517046289084172
2019-01-23 11:00:00-05:00,-8.190175456152689e-06,-6.52563535328475e-05,0.00018761244489170868
2019-01-23 11:15:00-05:00,0.0002193876966282205,-0.00011806253620618993,0.00027206560571860726
2019-01-23 11:30:00-05:00,0.00012067821100680536,-0.00010927284211407297,0.00019917705514987144
2019-01-23 11:45:00-05:00,-0.00010671267948219537,-5.083802416792312e-05,0.00022329758250429264
2019-01-23 12:00:00-05:00,-8.134590360899645e-06,-0.0001313669024310997,0.00034500217193568576
2019-01-23 12:15:00-05:00,7.02005230132026e-05,-0.00013201753121532393,0.0003225391238826256
2019-01-23 12:30:00-05:00,5.0064063135816644e-05,-7.871979592875864e-05,0.0003677203128220989
2019-01-23 12:45:00-05:00,9.93766322960807e-05,-7.816705258025758e-05,9.887786605696663e-05
2019-01-23 13:00:00-05:00,-5.656938530240127e-05,-5.373391254236018e-05,0.0001838629693689159
2019-01-23 13:15:00-05:00,-4.766787437498849e-05,-7.672853855326103e-05,0.00030292491904519573
2019-01-23 13:30:00-05:00,-0.00017740561489573313,-0.00010845715958695759,0.0001928893425236478
2019-01-23 13:45:00-05:00,0.00020776580881296517,-6.78715407478773e-05,0.00040859765884765733
