timestamp_utc,symbol,trading_date,action,path,rows,error,venue,start_time,end_time
2026-04-29T03:01:53.199878+00:00,AAPL,2020-10-14,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-10-14/part.parquet,834140,,utp_cta,09:30:00,16:00:00
2026-04-29T03:01:58.942875+00:00,AAPL,2020-10-15,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-10-15/part.parquet,627673,,utp_cta,09:30:00,16:00:00
2026-04-29T03:02:05.009367+00:00,AAPL,2020-10-16,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-10-16/part.parquet,620148,,utp_cta,09:30:00,16:00:00
2026-04-29T03:02:11.214553+00:00,AAPL,2020-10-19,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-10-19/part.parquet,735807,,utp_cta,09:30:00,16:00:00
2026-04-29T03:02:17.224843+00:00,AAPL,2020-10-20,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-10-20/part.parquet,658232,,utp_cta,09:30:00,16:00:00
2026-04-29T03:02:21.747618+00:00,AAPL,2020-10-21,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-10-21/part.parquet,498721,,utp_cta,09:30:00,16:00:00
2026-04-29T03:02:27.394656+00:00,AAPL,2020-10-22,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-10-22/part.parquet,627493,,utp_cta,09:30:00,16:00:00
2026-04-29T03:02:32.568538+00:00,AAPL,2020-10-23,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-10-23/part.parquet,558768,,utp_cta,09:30:00,16:00:00
2026-04-29T03:02:38.777653+00:00,AAPL,2020-10-26,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-10-26/part.parquet,703018,,utp_cta,09:30:00,16:00:00
2026-04-29T03:02:43.626748+00:00,AAPL,2020-10-27,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-10-27/part.parquet,534219,,utp_cta,09:30:00,16:00:00
2026-04-29T03:02:51.376937+00:00,AAPL,2020-10-28,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-10-28/part.parquet,928555,,utp_cta,09:30:00,16:00:00
2026-04-29T03:02:58.426790+00:00,AAPL,2020-10-29,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-10-29/part.parquet,808965,,utp_cta,09:30:00,16:00:00
2026-04-29T03:03:10.199035+00:00,AAPL,2020-10-30,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-10-30/part.parquet,1438794,,utp_cta,09:30:00,16:00:00
2026-04-29T03:03:17.796374+00:00,AAPL,2020-11-02,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-02/part.parquet,828198,,utp_cta,09:30:00,16:00:00
2026-04-29T03:03:23.528050+00:00,AAPL,2020-11-03,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-03/part.parquet,614558,,utp_cta,09:30:00,16:00:00
2026-04-29T03:03:30.280554+00:00,AAPL,2020-11-04,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-04/part.parquet,787723,,utp_cta,09:30:00,16:00:00
2026-04-29T03:03:36.509574+00:00,AAPL,2020-11-05,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-05/part.parquet,718578,,utp_cta,09:30:00,16:00:00
2026-04-29T03:03:42.332677+00:00,AAPL,2020-11-06,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-06/part.parquet,617775,,utp_cta,09:30:00,16:00:00
2026-04-29T03:03:50.074144+00:00,AAPL,2020-11-09,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-09/part.parquet,924427,,utp_cta,09:30:00,16:00:00
2026-04-29T03:03:57.031874+00:00,AAPL,2020-11-10,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-10/part.parquet,784222,,utp_cta,09:30:00,16:00:00
2026-04-29T03:04:02.365416+00:00,AAPL,2020-11-11,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-11/part.parquet,595468,,utp_cta,09:30:00,16:00:00
2026-04-29T03:04:07.709900+00:00,AAPL,2020-11-12,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-12/part.parquet,594518,,utp_cta,09:30:00,16:00:00
2026-04-29T03:04:12.607088+00:00,AAPL,2020-11-13,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-13/part.parquet,491276,,utp_cta,09:30:00,16:00:00
2026-04-29T03:04:17.823958+00:00,AAPL,2020-11-16,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-16/part.parquet,566856,,utp_cta,09:30:00,16:00:00
2026-04-29T03:04:22.166164+00:00,AAPL,2020-11-17,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-17/part.parquet,477136,,utp_cta,09:30:00,16:00:00
2026-04-29T03:04:26.418609+00:00,AAPL,2020-11-18,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-18/part.parquet,467254,,utp_cta,09:30:00,16:00:00
2026-04-29T03:04:31.071755+00:00,AAPL,2020-11-19,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-19/part.parquet,474496,,utp_cta,09:30:00,16:00:00
2026-04-29T03:04:37.154388+00:00,AAPL,2020-11-20,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-20/part.parquet,443472,,utp_cta,09:30:00,16:00:00
2026-04-29T03:04:45.192886+00:00,AAPL,2020-11-23,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-23/part.parquet,981319,,utp_cta,09:30:00,16:00:00
2026-04-29T03:04:51.810480+00:00,AAPL,2020-11-24,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-24/part.parquet,770518,,utp_cta,09:30:00,16:00:00
2026-04-29T03:04:56.227988+00:00,AAPL,2020-11-25,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-25/part.parquet,475863,,utp_cta,09:30:00,16:00:00
2026-04-29T03:04:56.784154+00:00,AAPL,2020-11-26,skipped,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-26/part.parquet,0,no_data,utp_cta,09:30:00,16:00:00
2026-04-29T03:04:59.891700+00:00,AAPL,2020-11-27,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-27/part.parquet,316724,,utp_cta,09:30:00,16:00:00
2026-04-29T03:05:07.171107+00:00,AAPL,2020-11-30,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-11-30/part.parquet,874388,,utp_cta,09:30:00,16:00:00
2026-04-29T03:05:13.840858+00:00,AAPL,2020-12-01,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-01/part.parquet,783360,,utp_cta,09:30:00,16:00:00
2026-04-29T03:05:18.374150+00:00,AAPL,2020-12-02,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-02/part.parquet,505100,,utp_cta,09:30:00,16:00:00
2026-04-29T03:05:22.335365+00:00,AAPL,2020-12-03,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-03/part.parquet,457030,,utp_cta,09:30:00,16:00:00
2026-04-29T03:05:26.461808+00:00,AAPL,2020-12-04,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-04/part.parquet,444667,,utp_cta,09:30:00,16:00:00
2026-04-29T03:05:31.058700+00:00,AAPL,2020-12-07,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-07/part.parquet,500215,,utp_cta,09:30:00,16:00:00
2026-04-29T03:05:35.595478+00:00,AAPL,2020-12-08,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-08/part.parquet,480350,,utp_cta,09:30:00,16:00:00
2026-04-29T03:05:41.872554+00:00,AAPL,2020-12-09,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-09/part.parquet,712308,,utp_cta,09:30:00,16:00:00
2026-04-29T03:05:46.268058+00:00,AAPL,2020-12-10,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-10/part.parquet,486957,,utp_cta,09:30:00,16:00:00
2026-04-29T03:05:51.055123+00:00,AAPL,2020-12-11,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-11/part.parquet,528744,,utp_cta,09:30:00,16:00:00
2026-04-29T03:05:55.228601+00:00,AAPL,2020-12-14,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-14/part.parquet,432850,,utp_cta,09:30:00,16:00:00
2026-04-29T03:06:02.689663+00:00,AAPL,2020-12-15,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-15/part.parquet,834378,,utp_cta,09:30:00,16:00:00
2026-04-29T03:06:08.953683+00:00,AAPL,2020-12-16,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-16/part.parquet,525346,,utp_cta,09:30:00,16:00:00
2026-04-29T03:06:13.053271+00:00,AAPL,2020-12-17,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-17/part.parquet,471171,,utp_cta,09:30:00,16:00:00
2026-04-29T03:06:18.626284+00:00,AAPL,2020-12-18,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-18/part.parquet,639767,,utp_cta,09:30:00,16:00:00
2026-04-29T03:06:24.523221+00:00,AAPL,2020-12-21,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-21/part.parquet,656026,,utp_cta,09:30:00,16:00:00
2026-04-29T03:06:33.474043+00:00,AAPL,2020-12-22,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-22/part.parquet,1069861,,utp_cta,09:30:00,16:00:00
2026-04-29T03:06:38.583638+00:00,AAPL,2020-12-23,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-23/part.parquet,525021,,utp_cta,09:30:00,16:00:00
2026-04-29T03:06:42.121841+00:00,AAPL,2020-12-24,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-24/part.parquet,353907,,utp_cta,09:30:00,16:00:00
2026-04-29T03:06:42.699789+00:00,AAPL,2020-12-25,skipped,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-25/part.parquet,0,no_data,utp_cta,09:30:00,16:00:00
2026-04-29T03:06:48.814988+00:00,AAPL,2020-12-28,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-28/part.parquet,746486,,utp_cta,09:30:00,16:00:00
2026-04-29T03:06:55.254931+00:00,AAPL,2020-12-29,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-29/part.parquet,761743,,utp_cta,09:30:00,16:00:00
2026-04-29T03:07:00.627054+00:00,AAPL,2020-12-30,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-30/part.parquet,606541,,utp_cta,09:30:00,16:00:00
2026-04-29T03:07:06.275733+00:00,AAPL,2020-12-31,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2020-12-31/part.parquet,632440,,utp_cta,09:30:00,16:00:00
2026-04-29T03:07:06.835896+00:00,AAPL,2021-01-01,skipped,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-01/part.parquet,0,no_data,utp_cta,09:30:00,16:00:00
2026-04-29T03:07:16.644142+00:00,AAPL,2021-01-04,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-04/part.parquet,1271268,,utp_cta,09:30:00,16:00:00
2026-04-29T03:07:22.280517+00:00,AAPL,2021-01-05,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-05/part.parquet,673420,,utp_cta,09:30:00,16:00:00
2026-04-29T03:07:31.846072+00:00,AAPL,2021-01-06,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-06/part.parquet,1129519,,utp_cta,09:30:00,16:00:00
2026-04-29T03:07:37.881409+00:00,AAPL,2021-01-07,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-07/part.parquet,680182,,utp_cta,09:30:00,16:00:00
2026-04-29T03:07:44.197305+00:00,AAPL,2021-01-08,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-08/part.parquet,758338,,utp_cta,09:30:00,16:00:00
2026-04-29T03:07:50.298519+00:00,AAPL,2021-01-11,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-11/part.parquet,725925,,utp_cta,09:30:00,16:00:00
2026-04-29T03:07:55.626112+00:00,AAPL,2021-01-12,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-12/part.parquet,659286,,utp_cta,09:30:00,16:00:00
2026-04-29T03:08:00.627630+00:00,AAPL,2021-01-13,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-13/part.parquet,565230,,utp_cta,09:30:00,16:00:00
2026-04-29T03:08:06.155602+00:00,AAPL,2021-01-14,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-14/part.parquet,626273,,utp_cta,09:30:00,16:00:00
2026-04-29T03:08:11.875026+00:00,AAPL,2021-01-15,saved,data_new/thetadata_raw/trades/symbol=AAPL/date=2021-01-15/part.parquet,679170,,utp_cta,09:30:00,16:00:00
