date,gross_pnl,transaction_cost,net_pnl
2020-07-01,0.0011796634024646142,4.76008708912928e-05,0.0011320625315733215
2020-07-02,-0.0008774083354382479,1.2472093571073826e-05,-0.0008898804290093218
2020-07-06,0.00025044600368207817,1.244194919080302e-05,0.00023800405449127515
2020-07-07,-2.1981091106469396e-05,6.390771335294963e-06,-2.837186244176436e-05
2020-07-08,-9.403717268164702e-05,5.626649980612391e-06,-9.966382266225941e-05
2020-07-09,0.00020423538986499883,8.202237499525101e-06,0.00019603315236547372
2020-07-10,0.0002551771523621338,9.434262191874937e-05,0.00016083453044338442
2020-07-13,0.0007335826842719952,1.7427696478641997e-06,0.000731839914624131
2020-07-14,0.0,9.640736985336775e-05,-9.640736985336775e-05
2020-07-15,0.0,0.0,0.0
2020-07-16,0.0,0.0,0.0
2020-07-17,0.0,0.0,0.0
2020-07-20,0.0,0.0,0.0
2020-07-21,0.0,0.0,0.0
2020-07-22,0.0,0.0,0.0
2020-07-23,0.0003547723283203676,0.00014230869007002294,0.00021246363825034464
2020-07-24,-0.008050797407224572,4.7164178875166955e-05,-0.008097961586099739
2020-07-27,-0.0003413049169989691,0.000121028832499192,-0.0004623337494981611
2020-07-28,-0.0008923084725951044,4.699246297766302e-05,-0.0009393009355727674
2020-07-29,6.50341276165116e-05,6.539766892676345e-05,-3.6354131025185437e-07
2020-07-30,0.001271613900123211,8.914504775206153e-07,0.0012707224496456904
2020-07-31,0.005770280264482101,8.840077864559468e-05,0.005681879485836506
2020-08-03,-0.0012342958862908429,4.357120946048505e-05,-0.001277867095751328
2020-08-04,0.0006855763637626413,9.451426592016966e-05,0.0005910620978424717
2020-08-05,-0.0007378860972865843,1.1736814972239472e-06,-0.0007390597787838082
2020-08-06,-0.0007038522092833518,9.07098040551539e-07,-0.0007047593073239033
2020-08-07,0.0008578197990337853,1.555887788983302e-06,0.0008562639112448021
2020-08-10,0.00027254878370376964,4.551027083157295e-06,0.00026799775662061237
2020-08-11,-0.0014769843736149708,5.93203694948103e-07,-0.001477577577309919
2020-08-12,-0.0020771559001770707,3.8820881774506016e-05,-0.0021159767819515767
2020-08-13,-0.005673069288699298,6.387381365548652e-05,-0.005736943102354785
2020-08-14,-0.0009075604002427637,9.995854913224158e-06,-0.0009175562551559878
2020-08-17,-0.0011068890120117922,7.931757444923257e-05,-0.0011862065864610247
2020-08-18,0.003199955519302816,2.5517278775186606e-06,0.0031974037914252974
2020-08-19,0.0015263628806973166,6.0152552364469156e-05,0.0014662103283328474
2020-08-20,0.000897805982667986,0.0001522881754272296,0.0007455178072407565
2020-08-21,-0.004344445944494478,5.2082978782632737e-05,-0.00439652892327711
2020-08-24,-0.0006281444486104288,5.61573487562026e-05,-0.0006843017973666314
2020-08-25,0.001223914016391651,7.598924878803173e-06,0.0012163150915128478
2020-08-26,-0.009148498971032018,6.718958445328928e-05,-0.009215688555485308
2020-08-27,0.0025283307276588243,0.0002188867403629974,0.002309443987295827
2020-08-28,0.0006296085000457999,7.415950672763923e-05,0.0005554489933181607
2020-08-31,0.00045917067942514175,6.439316762110285e-05,0.0003947775118040389
2020-09-01,0.0006548899205757778,6.318576399678082e-05,0.0005917041565789969
2020-09-02,-0.0008499693688518921,9.383883192303238e-05,-0.0009438082007749244
2020-09-03,0.0015843328215998716,3.5124128838007594e-06,0.001580820408716071
2020-09-04,0.0007045345606042379,6.084161821984943e-06,0.000698450398782253
2020-09-08,-7.896658213193115e-05,6.899359811386583e-05,-0.00014796018024579698
2020-09-09,-0.001232731604951639,1.0369140128538958e-06,-0.001233768518964493
2020-09-10,-0.00035218976002368205,3.6864246764611587e-06,-0.00035587618470014323
2020-09-11,-8.945683776287115e-05,5.2584762832967194e-05,-0.00014204160059583834
2020-09-14,-0.00399530978427734,0.0001369488588022566,-0.004132258643079596
2020-09-15,-0.0017438732337218446,4.662544350365094e-06,-0.0017485357780722096
2020-09-16,0.0017818979751018376,4.4958061721426844e-05,0.0017369399133804106
2020-09-17,-0.0010707657271583943,5.891010700670138e-05,-0.0011296758341650956
2020-09-18,0.0006910332718463551,4.461485014991717e-05,0.0006464184216964379
2020-09-21,-0.000883649042635062,1.669466603340523e-06,-0.0008853185092384025
2020-09-22,5.628652771863746e-05,3.620545063018061e-06,5.26659826556194e-05
2020-09-23,0.0010973580067052745,3.4517584391921645e-06,0.0010939062482660823
2020-09-24,-0.000532084586925547,4.390200332817704e-06,-0.0005364747872583646
2020-09-25,-0.000960518120019713,9.97280664486417e-07,-0.0009615154006841994
2020-09-28,-0.00022346034414615253,1.7486287570400542e-05,-0.00024094663171655306
2020-09-29,-0.00026508016307943256,5.8134370022388736e-05,-0.0003232145331018213
2020-09-30,-9.512166088649482e-05,5.237396964383701e-07,-9.56454005829332e-05
2020-10-01,-5.660556465739196e-05,5.882945433996302e-05,-0.00011543501899735498
2020-10-02,0.0013847227099858506,8.964575813252299e-05,0.0012950769518533275
2020-10-05,-0.0003057234562594818,5.8043649847653174e-05,-0.000363767106107135
2020-10-06,-0.0005797840218753468,6.5089795323756605e-06,-0.0005862930014077225
2020-10-07,-0.00015554693623425343,5.759622028165516e-05,-0.00021314315651590858
2020-10-08,0.0005631494013859496,7.706993171510211e-06,0.0005554424082144394
2020-10-09,0.0005376401651484735,6.384410879450285e-06,0.0005312557542690232
2020-10-12,-0.0012456740588318695,0.00012350122121875166,-0.0013691752800506212
2020-10-13,0.0005154085243061539,1.0521078014201254e-05,0.0005048874462919527
2020-10-14,0.00015937618270135093,4.8027430221736335e-05,0.0001113487524796146
2020-10-15,-0.0002686774161702098,3.0743036666512988e-06,-0.00027175171983686105
2020-10-16,-3.519963318777448e-05,2.415953355412999e-05,-5.9359166741904476e-05
2020-10-19,0.0005270812975772922,0.00011115585443954249,0.00041592544313774973
2020-10-20,3.151206478969044e-05,1.8083202110212756e-06,2.970374457866916e-05
2020-10-21,-9.117871520123224e-05,6.793436932014627e-07,-9.18580588944337e-05
2020-10-22,-0.00021853549573047886,5.841386643975386e-07,-0.0002191196343948764
2020-10-23,-0.00034350780404400564,2.333437135090755e-06,-0.0003458412411790964
2020-10-26,0.0005913815242491169,1.5656057273101274e-06,0.0005898159185218067
2020-10-27,-0.0005105691345090244,1.0381351244778223e-05,-0.0005209504857538026
2020-10-28,3.695837881860834e-05,8.736383774612629e-05,-5.040545892751795e-05
2020-10-29,-0.00017377818831259016,1.3048704061092622e-06,-0.00017508305871869942
2020-10-30,-0.0006172430083784413,1.1371493356518067e-06,-0.0006183801577140932
2020-11-02,0.0007201713200557155,8.387022125551534e-05,0.0006363010988002001
2020-11-03,-0.0002707738812009182,3.341177676048775e-06,-0.00027411505887696696
2020-11-04,0.0012089624356420737,1.7550497157394728e-06,0.0012072073859263341
