date,gross_pnl,transaction_cost,net_pnl
2022-08-30,0.0,0.0,0.0
2022-08-31,0.0,0.0,0.0
2022-09-01,0.0,0.0,0.0
2022-09-02,-0.00023571539893225903,0.00011392321043566226,-0.0003496386093679213
2022-09-06,-0.0012241097008882668,4.390199632820224e-07,-0.0012245487208515488
2022-09-07,-0.0006401689790007847,5.580795551163032e-07,-0.000640727058555901
2022-09-08,0.0007119997138339191,1.2361029660179074e-06,0.0007107636108679012
2022-09-09,-0.0003700283247294292,4.5096913138818204e-05,-0.0004151252378682474
2022-09-12,0.0,7.018145985469626e-05,-7.018145985469626e-05
2022-09-13,0.0,0.0,0.0
2022-09-14,0.0027568243498326175,4.0210115913524936e-05,0.0027166142339190924
2022-09-15,0.0007803713564209825,5.089900256501975e-05,0.0007294723538559628
2022-09-16,-0.00015836543970511544,4.021041354023357e-05,-0.000198575853245349
2022-09-19,0.0008630143946852798,9.061308667645903e-05,0.0007724013080088208
2022-09-20,0.0007217362214432576,4.176715731913427e-05,0.0006799690641241233
2022-09-21,0.0005167202908861763,5.00151706531709e-05,0.0004667051202330054
2022-09-22,-0.0003135647307465015,5.995387929925432e-05,-0.0003735186100457558
2022-09-23,0.0008803690571226601,5.007344335661945e-05,0.0008302956137660407
2022-09-26,-0.0009891663932260913,4.925991276079553e-07,-0.0009896589923536992
2022-09-27,-0.0004474794335608306,4.833088664600374e-07,-0.00044796274242729064
2022-09-28,0.0015031405809940212,6.93025977959727e-08,0.0015030712783962253
2022-09-29,0.0016471492209683186,4.893573851745968e-05,0.001598213482450859
2022-09-30,0.0004315268102572621,1.4178861724740941e-06,0.00043010892408478803
2022-10-03,-0.00025800682847400063,5.088145295936673e-05,-0.0003088882814333674
2022-10-04,-0.0005353552722795877,7.687153228616573e-08,-0.0005354321438118738
2022-10-05,0.00018599688618737374,1.773931739579085e-07,0.00018581949301341584
2022-10-06,0.0007214756578413862,2.205247555291806e-08,0.0007214536053658334
2022-10-07,0.0011437126438559853,1.9175233131957237e-07,0.0011435208915246658
2022-10-10,0.0007653537029716284,5.168678479125209e-05,0.0007136669181803763
2022-10-11,4.9722758495957e-05,5.720807891408464e-05,-7.485320418127646e-06
2022-10-12,-0.00023417505053311956,1.9265693901020925e-08,-0.00023419431622702058
2022-10-13,3.734879771316959e-05,5.111233084572228e-05,-1.3763533132552689e-05
2022-10-14,-7.612680923452902e-05,3.1655833830777565e-07,-7.644336757283679e-05
2022-10-17,-0.000990907187805362,6.152430694602592e-05,-0.001052431494751388
2022-10-18,-0.002811640384848682,0.00010303355723859675,-0.0029146739420872784
2022-10-19,0.0017576500100142734,5.2581314364801826e-05,0.0017050686956494715
2022-10-20,-0.001120745142711243,5.3311873473216836e-05,-0.0011740570161844599
2022-10-21,-0.0018797681176706204,3.829903293626841e-06,-0.0018835980209642473
2022-10-24,-0.0005002051401373322,4.97559465491039e-05,-0.0005499610866864361
2022-10-25,0.0008125458518725508,2.53886209600622e-06,0.0008100069897765446
2022-10-26,0.0026404203849457663,5.098391714279261e-05,0.0025894364678029735
2022-10-27,-0.002021416454191172,9.81985223803737e-05,-0.0021196149765715456
2022-10-28,0.0038105730156001174,5.1459167841584655e-05,0.0037591138477585328
2022-10-31,-0.0019218160876962457,4.052075578202238e-06,-0.0019258681632744478
2022-11-01,-0.00048185924022529404,3.9559532533836595e-07,-0.0004822548355506324
2022-11-02,0.003571638966187866,2.9723404028111912e-08,0.003571609242783838
2022-11-03,0.0005722288667917993,0.00010854683987283079,0.0004636820269189685
2022-11-04,0.0055541010177366165,0.00011001527502659308,0.005444085742710023
2022-11-07,-0.00017672044624079042,5.130681887126968e-05,-0.0002280272651120601
2022-11-08,-0.00043526458191350527,6.228488441039505e-05,-0.0004975494663239003
2022-11-09,6.703864147365409e-05,1.3885709265047675e-07,6.689978438100361e-05
2022-11-10,0.0007183346304862075,5.393574692438777e-05,0.0006643988835618197
2022-11-11,-0.0008049023394162086,0.00012069969328294871,-0.0009256020326991573
2022-11-14,-0.0009753892603976302,5.400049019395027e-05,-0.0010293897505915806
2022-11-15,0.00019348689464266573,4.3934057930400393e-07,0.00019304755406336172
2022-11-16,0.0011339688871678337,2.439657669004412e-07,0.0011337249214009332
2022-11-17,0.001585782264825554,2.89864826229818e-07,0.0015854923999993242
2022-11-18,0.0008897232609540912,7.628411241385885e-08,0.0008896469768416773
2022-11-21,-0.001412806648352343,3.748340846937565e-07,-0.0014131814824370366
2022-11-22,-0.0019938394578634254,0.00011492380515421675,-0.002108763263017642
2022-11-23,5.608537209679824e-05,6.171355352936862e-05,-5.628181432570378e-06
