fold_id,train_start,train_end,test_start,test_end,fitted_symbol_count,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count,trend_cells,mean_reversion_cells,flat_cells
0,2020-01-02,2021-12-07,2021-12-08,2022-03-04,12,-0.009178414569148363,-0.00015304777324143745,0.0011232887742056686,-2.162897142787128,-0.013798670470240748,0.38333333333333336,0.06221808402973402,0.1711187908294886,0.9166666666666666,3.733085041784041,54,87,579
1,2020-03-31,2022-03-04,2022-03-07,2022-06-01,12,0.009599810599072223,0.0001572332890646938,0.0011025449252274637,2.263854312875753,-0.004312081043990834,0.5081967213114754,0.07082947532981967,0.221141104634943,0.9836065573770492,4.320597995119,75,73,584
2,2020-06-26,2022-06-01,2022-06-02,2022-08-29,12,-0.0010491056262086351,-1.6448027193822432e-05,0.001242834638660939,-0.21008775339268848,-0.007526570359436491,0.4098360655737705,0.059616732502951256,0.15552663789259258,0.9180327868852459,3.6366206826800265,13,124,595
3,2020-09-23,2022-08-29,2022-08-30,2022-11-24,12,0.011888858147053094,0.00019477941322277068,0.0014344569539157287,2.1555385952675117,-0.006191204234320402,0.4426229508196721,0.07176896560447243,0.21188276982661758,0.9180327868852459,4.3779069018728185,49,131,552
4,2020-12-21,2022-11-24,2022-11-25,2023-02-21,12,-0.00715152928889784,-0.00012132045207280551,0.0008068237028740308,-2.3870177139356237,-0.010789760562553874,0.3728813559322034,0.040294360923961325,0.14752660218802396,0.847457627118644,2.3773672945137183,22,83,603
5,2021-03-18,2023-02-21,2023-02-22,2023-05-19,12,-0.004939403393863562,-7.883727210868166e-05,0.0014432225282117414,-0.8671586479491187,-0.011316958061704296,0.4838709677419355,0.04975757363972288,0.22814506329863268,0.9516129032258065,3.0849695656628184,16,183,545
6,2021-06-15,2023-05-19,2023-05-22,2023-08-16,12,0.0038376890113571704,6.526393342596601e-05,0.001701368156070071,0.6089409989634375,-0.0065251216629732545,0.48333333333333334,0.07296462054290237,0.17931805293961522,0.8833333333333333,4.377877232574142,27,100,593
7,2021-09-10,2023-08-16,2023-08-17,2023-11-13,12,0.0020155832603625523,3.270107202165409e-05,0.0006745954006558599,0.7695181801452505,-0.0029659898300143928,0.43548387096774194,0.049167877612199186,0.09810083000376119,0.8064516129032258,3.0484084119563497,20,40,684
8,2021-12-08,2023-11-13,2023-11-14,2024-02-08,12,-0.0017924459814205873,-2.9458259605334905e-05,0.0013898895049137034,-0.3364550722785768,-0.010883790112216962,0.4576271186440678,0.0729580161404684,0.23630315974840993,0.9491525423728814,4.304522952287636,47,113,548
9,2022-03-07,2024-02-08,2024-02-09,2024-05-07,12,-0.015026151713167013,-0.000247064810905951,0.0014978449225759515,-2.6184501647133605,-0.015987990322176238,0.4098360655737705,0.04226860811942161,0.1639933237177209,0.9672131147540983,2.5783850952847183,4,146,582
10,2022-06-02,2024-05-07,2024-05-08,2024-08-02,12,0.0006510915680586482,1.1684812149504374e-05,0.0013043966739343094,0.1422041669464648,-0.01274320018428965,0.45,0.05190286692340802,0.13092860131792425,0.8,3.114172015404481,21,84,615
11,2022-08-30,2024-08-02,2024-08-05,2024-10-30,12,-0.0020992032973106145,-3.2789316475257175e-05,0.0014982038548862298,-0.3474255259872278,-0.011217274900310548,0.46774193548387094,0.04869159877618131,0.1986340098422871,1.0,3.018879124123241,12,172,560
12,2022-11-25,2024-10-30,2024-10-31,2025-01-27,12,-0.00357808762507672,-6.057846891742277e-05,0.0015761833204791004,-0.6101151870272518,-0.010463912579651291,0.5344827586206896,0.05458456573476331,0.21684318813748554,1.0,3.165904812616272,17,138,541
13,2023-02-22,2025-01-27,2025-01-28,2025-04-24,12,-0.0101207930688193,-0.00016493808727827258,0.0019168414461376356,-1.365950725471662,-0.016140206019010672,0.4918032786885246,0.05024258559845031,0.21452779658844162,0.9836065573770492,3.0647977215054687,58,101,573
14,2023-05-22,2025-04-24,2025-04-25,2025-07-22,12,-0.009595109284606385,-0.00015977184705994658,0.0013578301056322742,-1.8679063252904977,-0.012562094169239812,0.38333333333333336,0.04349034710574318,0.1193376051594247,0.95,2.6094208263445906,12,95,613
15,2023-08-17,2025-07-22,2025-07-23,2025-10-17,12,-0.01057173504004938,-0.00016827597475737216,0.002521489728465321,-1.059412717352529,-0.022283418837524827,0.4032258064516129,0.06956348564226411,0.25784507485511454,0.9354838709677419,4.312936109820375,13,215,516
16,2023-11-14,2025-10-17,2025-10-20,2025-12-31,12,-0.0015816355313978958,-3.049474349276926e-05,0.001051421649479977,-0.4604138080082921,-0.008746530810369912,0.37254901960784315,0.01981636051843787,0.08141108496710957,0.8235294117647058,1.0106343864403313,0,48,564
