variant,fold_id,test_start,test_end,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count,trend_cells,mean_reversion_cells,flat_cells
baseline_hybrid,0,2021-12-08,2022-03-04,-0.009178414569148363,-0.00015304777324143745,0.0011232887742056686,-2.162897142787128,-0.013798670470240748,0.38333333333333336,0.06221808402973402,0.1711187908294886,0.9166666666666666,3.733085041784041,54,87,579
inverse_trend_only,0,2021-12-08,2022-03-04,0.007749714810972419,0.0001289414166611462,0.0007401375268495133,2.765542157824807,-0.0028022961009349645,0.35,0.035026265984355535,0.07567187371661974,0.55,2.101575959061332,0,0,666
pure_inverse_trend_only,0,2021-12-08,2022-03-04,0.007749714810972419,0.0001289414166611462,0.0007401375268495133,2.765542157824807,-0.0028022961009349645,0.35,0.035026265984355535,0.07567187371661974,0.55,2.101575959061332,0,0,666
strict_inverse_trend_only,0,2021-12-08,2022-03-04,0.00038321879132419134,6.3873256468607895e-06,5.6135375654978624e-05,1.806270111194629,-4.8100116373794854e-05,0.016666666666666666,0.00320667442492539,0.001603337212462695,0.016666666666666666,0.1924004654955234,0,0,719
strict_mean_reversion_only,0,2021-12-08,2022-03-04,0.006262335366930216,0.00010426687209350041,0.0006610335717945174,2.5039352793513054,-0.0027091088914412698,0.2,0.009977781624882089,0.025516009284309957,0.3,0.5986668974929253,0,18,702
strict_mr_plus_strict_inverse_trend,0,2021-12-08,2022-03-04,0.006647954002844791,0.0001106541977403612,0.0006623911342208969,2.6518786887814456,-0.0027091088914411587,0.21666666666666667,0.013184456049807478,0.027119346496772653,0.31666666666666665,0.7910673629884487,0,18,701
high_confidence_hybrid,0,2021-12-08,2022-03-04,-0.0006079893205888087,-9.724138037841288e-06,0.0009154937724882015,-0.1686149162500603,-0.007094389583569449,0.31666666666666665,0.036611310805791344,0.09193000714481422,0.6833333333333333,2.1966786483474805,11,55,654
baseline_hybrid,1,2022-03-07,2022-06-01,0.009599810599072223,0.0001572332890646938,0.0011025449252274637,2.263854312875753,-0.004312081043990834,0.5081967213114754,0.07082947532981967,0.221141104634943,0.9836065573770492,4.320597995119,75,73,584
inverse_trend_only,1,2022-03-07,2022-06-01,-0.010583419293810459,-0.00017402066102743487,0.0008873911684672216,-3.1130491834458867,-0.012003486129330443,0.36065573770491804,0.053609503833999324,0.12480745142877558,0.8360655737704918,3.2701797338739587,0,0,657
pure_inverse_trend_only,1,2022-03-07,2022-06-01,-0.010583419293810459,-0.00017402066102743487,0.0008873911684672216,-3.1130491834458867,-0.012003486129330443,0.36065573770491804,0.053609503833999324,0.12480745142877558,0.8360655737704918,3.2701797338739587,0,0,657
