variant,mode,cum_return,mean_bar_return,bar_vol,sharpe,max_drawdown,hit_rate,turnover,avg_gross_exposure,active_rate,position_change_count,gross_pnl_sum,transaction_cost_sum,net_pnl_sum,active_observations,active_hit_rate
baseline_hybrid,trend,-0.032522899574115915,-3.22243009741907e-05,0.0006175143106168435,-0.8283936266880048,-0.03625024658188769,0.1480392156862745,0.022635554461627374,0.040400291752144456,0.3392156862745098,23.088265550859923,-0.02192557007240339,0.010943216921271117,-0.032868786993674515,346,0.43641618497109824
baseline_hybrid,mean_reversion,-0.016006666133407954,-1.4938643788800537e-05,0.0013278976795682398,-0.17858576152914266,-0.04182009099227635,0.4264705882352941,0.037207102246075346,0.14730503873830106,0.8725490196078431,37.951244290996854,0.002486520028920247,0.0177239366934968,-0.015237416664576548,890,0.4887640449438202
baseline_hybrid,flat,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
inverse_trend_only,inverse_trend,0.010388812710768969,1.0322844732443385e-05,0.0006169500240929851,0.2656132158347589,-0.02397300027587046,0.1784313725490196,0.022635554461627374,0.04040029175214446,0.3392156862745098,23.088265550859923,0.021925570072403394,0.011396268445311155,0.010529301627092253,346,0.5260115606936416
inverse_trend_only,flat,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
pure_inverse_trend_only,inverse_trend,0.010388812710768969,1.0322844732443385e-05,0.0006169500240929851,0.2656132158347589,-0.02397300027587046,0.1784313725490196,0.022635554461627374,0.04040029175214446,0.3392156862745098,23.088265550859923,0.021925570072403394,0.011396268445311155,0.010529301627092253,346,0.5260115606936416
pure_inverse_trend_only,flat,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
strict_inverse_trend_only,inverse_trend,0.0019490201469674062,1.9487206697085807e-06,0.00028205990428023243,0.10967521838887925,-0.006693583837413697,0.0392156862745098,0.004320498723875807,0.006764413933927957,0.07058823529411765,4.406908698353323,0.004191149432279413,0.0022034543491766616,0.0019876950831027524,72,0.5555555555555556
strict_inverse_trend_only,flat,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
strict_mean_reversion_only,mean_reversion,0.011943652238349367,1.191732046038639e-05,0.0007447424155238356,0.2540228587109528,-0.016704480331193317,0.2196078431372549,0.015853901633573454,0.0500365956429672,0.4235294117647059,16.170979666244925,0.01982217623324748,0.0076665093636533645,0.012155666869594118,432,0.5185185185185185
strict_mean_reversion_only,flat,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
strict_mr_plus_strict_inverse_trend,mean_reversion,0.011966882005465251,1.1939825064334352e-05,0.0007447412343429269,0.2545029577612872,-0.016701150010493993,0.2196078431372549,0.015853901633573454,0.0500365956429672,0.4235294117647059,16.170979666244925,0.01982217623324748,0.007643554667626442,0.012178621565621038,432,0.5185185185185185
strict_mr_plus_strict_inverse_trend,inverse_trend,0.001964869885921816,1.964224090226362e-06,0.0002820414102640626,0.11055500943089477,-0.006683088032074069,0.0392156862745098,0.004320498723875807,0.006764413933927957,0.07058823529411765,4.406908698353323,0.004191149432279413,0.0021876408602485254,0.0020035085720308894,72,0.5555555555555556
strict_mr_plus_strict_inverse_trend,flat,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
high_confidence_hybrid,trend,-0.016007223097268986,-1.574879607823167e-05,0.0003781379497049858,-0.6611459850170274,-0.016938292978091796,0.06568627450980392,0.009557040937050659,0.01640728222392254,0.1607843137254902,9.748181755791672,-0.011391043552978583,0.004672728446817719,-0.016063771999796306,164,0.40853658536585363
high_confidence_hybrid,mean_reversion,0.02289158984392281,2.2594301035886497e-05,0.0008996061350028522,0.39870049299805105,-0.017110026029261816,0.27941176470588236,0.02228475509287476,0.07402974918024227,0.5529411764705883,22.730450194732256,0.03394188539947072,0.010895698342866491,0.023046187056604227,564,0.5053191489361702
high_confidence_hybrid,flat,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,
